"BLUP_White","GID","KC","Env"
-0.0944982008824205,"cuGS1000","White","All Env"
0.471020988240131,"cuGS1001","White","All Env"
0.564235353107615,"cuGS1002","White","All Env"
-1.57861905016608,"cuGS1003","White","All Env"
-0.618049676673669,"cuGS1004","White","All Env"
-0.0810096440233176,"cuGS1005","White","All Env"
-1.1158848288142,"cuGS1006","White","All Env"
-1.09798347393934,"cuGS1009","White","All Env"
-0.040093829989956,"cuGS1010","White","All Env"
-0.264834862982771,"cuGS1012","White","All Env"
-1.12298995700265,"cuGS1013","White","All Env"
-0.432374655914,"cuGS1014","White","All Env"
-0.554345901250477,"cuGS1018","White","All Env"
0.169135143740097,"cuGS1019","White","All Env"
-0.737278809507819,"cuGS1020","White","All Env"
0.997207333017661,"cuGS1021","White","All Env"
-0.44596402332769,"cuGS1024","White","All Env"
-1.1900369400537,"cuGS1025","White","All Env"
-0.44596402332769,"cuGS1026","White","All Env"
-0.506475223942889,"cuGS1027","White","All Env"
-0.0726514198272917,"cuGS1028","White","All Env"
0.578849208940787,"cuGS1032","White","All Env"
0.177401493756291,"cuGS1033","White","All Env"
-1.64614146967038,"cuGS1034","White","All Env"
-0.880956160060721,"cuGS1035","White","All Env"
-0.830511185114284,"cuGS1036","White","All Env"
-0.666264896986778,"cuGS1037","White","All Env"
-0.990884013900795,"cuGS1038","White","All Env"
-0.248667959278185,"cuGS1041","White","All Env"
0.0561155935545601,"cuGS1042","White","All Env"
-0.413365531737357,"cuGS1044","White","All Env"
-0.213800257770747,"cuGS1045","White","All Env"
-0.896417445569864,"cuGS1046","White","All Env"
-0.400204851688715,"cuGS1049","White","All Env"
1.11311440121101,"cuGS1050","White","All Env"
0.978097217600949,"cuGS1051","White","All Env"
0.460548620329052,"cuGS1052","White","All Env"
-0.154851900703435,"cuGS1053","White","All Env"
-0.129455103126973,"cuGS1054","White","All Env"
-0.216024700185512,"cuGS1055","White","All Env"
0.0124557057563201,"cuGS1056","White","All Env"
0.0785594473591891,"cuGS1057","White","All Env"
-0.51575541680196,"cuGS1066","White","All Env"
0.100459902893781,"cuGS1070","White","All Env"
1.17830517428277,"cuGS1072","White","All Env"
-0.638444857479618,"cuGS1074","White","All Env"
0.0593003864238404,"cuGS1075","White","All Env"
0.24174289788002,"cuGS1076","White","All Env"
0.769705472902063,"cuGS1077","White","All Env"
-1.19551444722576,"cuGS1078","White","All Env"
0.378933583207642,"cuGS1080","White","All Env"
-1.07958085187189,"cuGS1081","White","All Env"
0.496686942358158,"cuGS1086","White","All Env"
-0.333323565512097,"cuGS1087","White","All Env"
-0.868947603942882,"cuGS1089","White","All Env"
0.484755909053622,"cuGS1092","White","All Env"
1.15692703236731,"cuGS1093","White","All Env"
-0.361244926488779,"cuGS1096","White","All Env"
-0.759393018546574,"cuGS1099","White","All Env"
-0.759393018546574,"cuGS1100","White","All Env"
0.742744026168984,"cuGS1101","White","All Env"
0.260330735294552,"cuGS1102","White","All Env"
0.14315978865006,"cuGS1103","White","All Env"
0.355467411226342,"cuGS1104","White","All Env"
-1.37419515603922,"cuGS1105","White","All Env"
-0.816787827158304,"cuGS1108","White","All Env"
0.950525063405136,"cuGS1109","White","All Env"
-1.00899441278046,"cuGS1110","White","All Env"
-0.816769845341565,"cuGS1112","White","All Env"
-0.352344692762533,"cuGS1113","White","All Env"
-0.0228608288471356,"cuGS1114","White","All Env"
-0.407927196101304,"cuGS1115","White","All Env"
0.613848500344051,"cuGS1116","White","All Env"
-0.311540275061969,"cuGS1117","White","All Env"
0.196162402392135,"cuGS1118","White","All Env"
-0.892410102116829,"cuGS1119","White","All Env"
-0.193276756674522,"cuGS1120","White","All Env"
-1.34499894971658,"cuGS1121","White","All Env"
-0.981524571153475,"cuGS1122","White","All Env"
-0.630444712010321,"cuGS1123","White","All Env"
-0.487556814512862,"cuGS1126","White","All Env"
0.479910590395133,"cuGS1128","White","All Env"
-1.05567668239298,"cuGS1129","White","All Env"
-0.592735921843,"cuGS1161","White","All Env"
0.0658474400006527,"cuGS1162","White","All Env"
-0.307164796995798,"cuGS1163","White","All Env"
-0.0693427702879103,"cuGS1164","White","All Env"
0.223119958429152,"cuGS1166","White","All Env"
-0.453826005718297,"cuGS1167","White","All Env"
0.222353381886564,"cuGS1168","White","All Env"
-1.17343698903995,"cuGS1169","White","All Env"
-0.285944046128683,"cuGS117","White","All Env"
-0.587375544864129,"cuGS1171","White","All Env"
0.925405196503562,"cuGS1172","White","All Env"
0.333642863986251,"cuGS1174","White","All Env"
-0.139088523547631,"cuGS1175","White","All Env"
1.31837492003442,"cuGS1176","White","All Env"
0.138056394016483,"cuGS1177","White","All Env"
-0.327507570617463,"cuGS1181","White","All Env"
0.16710642449624,"cuGS1183","White","All Env"
-0.0578646645911436,"cuGS1184","White","All Env"
-0.126359145621498,"cuGS1185","White","All Env"
-0.663171093985731,"cuGS1186","White","All Env"
-0.986513035854774,"cuGS1187","White","All Env"
-0.0645461943651604,"cuGS1188","White","All Env"
0.227866118940131,"cuGS1189","White","All Env"
-0.666915085078888,"cuGS1192","White","All Env"
0.226948793569077,"cuGS1195","White","All Env"
1.34771288423935,"cuGS1196","White","All Env"
1.3832955861062,"cuGS1197","White","All Env"
0.339525760779669,"cuGS1198","White","All Env"
0.625405684318514,"cuGS1199","White","All Env"
0.969881363068789,"cuGS1200","White","All Env"
0.689149466479634,"cuGS1201","White","All Env"
-0.222549114113358,"cuGS1202","White","All Env"
1.37053469681899,"cuGS1203","White","All Env"
1.53212792020775,"cuGS1204","White","All Env"
-0.0782401488850349,"cuGS1205","White","All Env"
-0.544628662000568,"cuGS1206","White","All Env"
-0.794501324967701,"cuGS1207","White","All Env"
-0.532318731416983,"cuGS1208","White","All Env"
-0.178518922406077,"cuGS1209","White","All Env"
0.716619308106616,"cuGS1210","White","All Env"
-0.784942507465152,"cuGS1211","White","All Env"
0.939213775354685,"cuGS1213","White","All Env"
-0.625683270642034,"cuGS1215","White","All Env"
-0.784942507465152,"cuGS1216","White","All Env"
0.660351557088153,"cuGS1217","White","All Env"
