"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00987611539461145,0.0127349909035779,0.0171532530537988,0.0371653816165642,0.135926535562679,0.598024776921078,0.816165641514338
"0.05",0.0499003725201421,0.0628952611972624,0.0794420861127956,0.153946114528286,0.378151260504202,0.807155852031534,0.925236073810968
"0.1",0.099887377631465,0.122845014294378,0.153253053798839,0.272979294810708,0.547344711080308,0.882872736723555,0.965000433162956
"0.2",0.199861387854111,0.240492073117907,0.285800918305467,0.438360911374859,0.751537728493459,0.951139218574028,0.985878887637529
"0.3",0.299835398076756,0.342025469981807,0.393225331369661,0.579138872043663,0.862947240751971,0.97730226111063,0.993589188252621
"0.4",0.399896040890583,0.456986918478732,0.517802997487655,0.723468768950879,0.929134540414104,0.989777354240665,0.997314389673395
"0.5",0.499870051113229,0.559646539027982,0.623841289092957,0.84562072251581,0.966213289439487,0.995581737849779,0.999393571861734
"0.6",0.599844061335875,0.667244217274539,0.742354673828294,0.927401888590488,0.987871437234688,0.999306939270554,0.999566837044096
"0.7",0.699904704149701,0.777960668803604,0.850645412804297,0.97297063155159,0.995755003032141,0.999653469635277,0.999913367408819
"0.8",0.799878714372347,0.871783765052413,0.945508100147275,0.994108983799705,0.999653469635277,1,1
"0.9",0.899852724594993,0.979034912934246,0.996101533396864,1,1,1,1
"1",0.999913367408819,1,1,1,1,1,1
