"BLUP_Red","GID","KC","Env"
-0.47363673502193,"cuGS1058","Red","All Env"
0.00918613180227676,"cuGS1059","Red","All Env"
-0.401554293684456,"cuGS1060","Red","All Env"
-0.636390772883744,"cuGS1061","Red","All Env"
0.0296026086231802,"cuGS1062","Red","All Env"
0.528404999191034,"cuGS1063","Red","All Env"
-0.119955573519,"cuGS1064","Red","All Env"
-0.469423364774615,"cuGS1065","Red","All Env"
1.00037647793201,"cuGS1067","Red","All Env"
1.07346253605975,"cuGS1069","Red","All Env"
-0.24730252599,"cuGS1071","Red","All Env"
-0.236859951845478,"cuGS1079","Red","All Env"
-0.229580766816921,"cuGS1083","Red","All Env"
0.841942205328822,"cuGS1085","Red","All Env"
-0.183423995984075,"cuGS1088","Red","All Env"
-0.928449870489306,"cuGS1090","Red","All Env"
-0.455441505234392,"cuGS1091","Red","All Env"
-0.340761656529905,"cuGS1094","Red","All Env"
-0.315608843782534,"cuGS1095","Red","All Env"
-0.242199351009578,"cuGS1097","Red","All Env"
-0.353556312655545,"cuGS1098","Red","All Env"
0.0631293003328653,"cuGS1106","Red","All Env"
-0.168860163988194,"cuGS1107","Red","All Env"
-0.801572249316841,"cuGS1111","Red","All Env"
-0.573656796860265,"cuGS1124","Red","All Env"
-0.739351226119343,"cuGS1125","Red","All Env"
0.32551911800995,"cuGS1127","Red","All Env"
-0.158739568722161,"cuGS1178","Red","All Env"
0.796071399080689,"cuGS1179","Red","All Env"
1.06765390048798,"cuGS1180","Red","All Env"
0.134618593212156,"cuGS1190","Red","All Env"
-0.0871406680932276,"cuGS1191","Red","All Env"
-0.774096359004932,"cuGS1193","Red","All Env"
-0.397500478772898,"cuGS1194","Red","All Env"
-0.205547799423508,"cuGS1218","Red","All Env"
0.0146603410431203,"cuGS1224","Red","All Env"
-0.442740606626207,"cuGS1225","Red","All Env"
-0.148296994577639,"cuGS1226","Red","All Env"
0.871557269145618,"cuGS1227","Red","All Env"
-0.0402019977160302,"cuGS1228","Red","All Env"
0.57176144511766,"cuGS1234","Red","All Env"
-0.17358084754838,"cuGS1236","Red","All Env"
0.149481057897647,"cuGS1237","Red","All Env"
-0.188590221990376,"cuGS1245","Red","All Env"
0.116930250325284,"cuGS1254","Red","All Env"
0.504427060743352,"cuGS1274","Red","All Env"
0.579728779649541,"cuGS1275","Red","All Env"
-0.150319624420999,"cuGS1282","Red","All Env"
-0.152499662464492,"cuGS1293","Red","All Env"
-0.478703017252498,"cuGS1297","Red","All Env"
0.366440148557124,"cuGS1311","Red","All Env"
-0.425407821340749,"cuGS1312","Red","All Env"
-0.0961450591498874,"cuGS1313","Red","All Env"
-0.0703573452887938,"cuGS1314","Red","All Env"
0.297112205897067,"cuGS1323","Red","All Env"
-0.983801705826133,"cuGS1324","Red","All Env"
-1.30742457465585,"cuGS1325","Red","All Env"
-0.21366162442109,"cuGS1326","Red","All Env"
-1.25870893795872,"cuGS1327","Red","All Env"
-0.653782845709848,"cuGS1328","Red","All Env"
-0.0121782807164022,"cuGS1329","Red","All Env"
-0.710522443388693,"cuGS1330","Red","All Env"
0.976386973910773,"cuGS1331","Red","All Env"
0.165723381310677,"cuGS1332","Red","All Env"
0.518929064265392,"cuGS1333","Red","All Env"
0.651055020427816,"cuGS1334","Red","All Env"
1.09802878638252,"cuGS1335","Red","All Env"
1.56434605231843,"cuGS1336","Red","All Env"
0.432860491337841,"cuGS1337","Red","All Env"
0.82197700698094,"cuGS1338","Red","All Env"
1.19580076878768,"cuGS1339","Red","All Env"
-0.209146434064528,"cuGS1340","Red","All Env"
0.631002926126118,"cuGS1341","Red","All Env"
-0.189822492680318,"cuGS1343","Red","All Env"
-0.917687264056304,"cuGS1344","Red","All Env"
-0.902093092484012,"cuGS1345","Red","All Env"
-0.755875829641446,"cuGS1346","Red","All Env"
-0.966920224702229,"cuGS1347","Red","All Env"
-0.783776408545992,"cuGS1348","Red","All Env"
-0.443744479393815,"cuGS1349","Red","All Env"
-0.657328469091401,"cuGS1350","Red","All Env"
-0.443744479393815,"cuGS1351","Red","All Env"
-0.369573280212216,"cuGS1352","Red","All Env"
-0.886800338647653,"cuGS1353","Red","All Env"
-0.0614938846479938,"cuGS1354","Red","All Env"
-0.251201205439756,"cuGS1355","Red","All Env"
-0.805976042223408,"cuGS1356","Red","All Env"
-0.783079669369518,"cuGS1357","Red","All Env"
-0.627501013214567,"cuGS1358","Red","All Env"
-0.188675758716794,"cuGS1359","Red","All Env"
-0.573336269815688,"cuGS1360","Red","All Env"
-0.34678811785879,"cuGS1361","Red","All Env"
0.159997216403907,"cuGS1362","Red","All Env"
-0.121911951540851,"cuGS1363","Red","All Env"
-0.117551699605149,"cuGS431","Red","All Env"
-0.261964281402616,"cuGS432","Red","All Env"
-0.184554771752163,"cuGS433","Red","All Env"
1.48972865954019,"cuGS435","Red","All Env"
-0.242123286570754,"cuGS436","Red","All Env"
-0.273486051387267,"cuGS437","Red","All Env"
0.800314647056447,"cuGS438","Red","All Env"
-0.00917064530712109,"cuGS439","Red","All Env"
-0.552507426362066,"cuGS440","Red","All Env"
-0.307178308257367,"cuGS441","Red","All Env"
-0.00913170157121487,"cuGS442","Red","All Env"
-0.458517527533303,"cuGS443","Red","All Env"
1.19048740858379,"cuGS444","Red","All Env"
0.364047019021706,"cuGS445","Red","All Env"
0.233946837411211,"cuGS446","Red","All Env"
0.248719406310373,"cuGS447","Red","All Env"
0.647792716130745,"cuGS448","Red","All Env"
0.247835190023849,"cuGS449","Red","All Env"
0.875465982593212,"cuGS450","Red","All Env"
0.473849355579854,"cuGS451","Red","All Env"
0.37700145429586,"cuGS452","Red","All Env"
-1.04866974178145,"cuGS453","Red","All Env"
1.60145912016732,"cuGS454","Red","All Env"
0.248569707656581,"cuGS455","Red","All Env"
-0.653208441699684,"cuGS456","Red","All Env"
0.447628637433513,"cuGS457","Red","All Env"
0.0920324289468224,"cuGS458","Red","All Env"
-0.287452621809344,"cuGS459","Red","All Env"
-0.00903995346755041,"cuGS460","Red","All Env"
0.373403513663019,"cuGS461","Red","All Env"
0.68900009671459,"cuGS462","Red","All Env"
-0.613777931701812,"cuGS463","Red","All Env"
-0.436780382140924,"cuGS464","Red","All Env"
0.454051157217352,"cuGS465","Red","All Env"
-0.223748784521393,"cuGS466","Red","All Env"
-0.596828825806504,"cuGS467","Red","All Env"
-0.168309650239375,"cuGS468","Red","All Env"
0.871491021990025,"cuGS469","Red","All Env"
0.317169241191184,"cuGS470","Red","All Env"
-0.395520327038711,"cuGS471","Red","All Env"
-0.27907803395862,"cuGS473","Red","All Env"
-0.0259578197302665,"cuGS474","Red","All Env"
-0.402174049297667,"cuGS475","Red","All Env"
1.03986336566399,"cuGS476","Red","All Env"
-0.706657265012399,"cuGS477","Red","All Env"
-0.255296757359288,"cuGS478","Red","All Env"
1.11002575378255,"cuGS479","Red","All Env"
-0.438071966824374,"cuGS480","Red","All Env"
-0.321881407513956,"cuGS481","Red","All Env"
-0.350590719912407,"cuGS482","Red","All Env"
1.44480713844096,"cuGS483","Red","All Env"
-0.533696539868372,"cuGS484","Red","All Env"
-0.45175123103213,"cuGS485","Red","All Env"
-0.210221974770778,"cuGS486","Red","All Env"
0.316019382459335,"cuGS487","Red","All Env"
-0.830072701882689,"cuGS488","Red","All Env"
1.29594279012175,"cuGS602","Red","All Env"
1.23526511784153,"cuGS603","Red","All Env"
-0.15509858706981,"cuGS606","Red","All Env"
0.539883167673279,"cuGS616","Red","All Env"
-0.462184082686277,"cuGS617","Red","All Env"
-0.327597622793,"cuGS618","Red","All Env"
-0.0506339694583847,"cuGS619","Red","All Env"
-0.374256838288104,"cuGS620","Red","All Env"
-0.187619083678101,"cuGS621","Red","All Env"
-0.527050870824492,"cuGS622","Red","All Env"
-0.265884487059002,"cuGS623","Red","All Env"
-0.106707260096558,"cuGS624","Red","All Env"
-0.735265951809646,"cuGS625","Red","All Env"
0.94382596764707,"cuGS626","Red","All Env"
-0.762798471592275,"cuGS627","Red","All Env"
1.64122525630169,"cuGS628","Red","All Env"
-0.799257304924877,"cuGS629","Red","All Env"
-0.467272077366549,"cuGS630","Red","All Env"
-0.444223108550366,"cuGS631","Red","All Env"
-0.493333111216684,"cuGS632","Red","All Env"
1.56597951355713,"cuGS633","Red","All Env"
-0.181926582738656,"cuGS634","Red","All Env"
-0.679457988772656,"cuGS635","Red","All Env"
-0.536870908932672,"cuGS636","Red","All Env"
0.467677754474934,"cuGS637","Red","All Env"
0.305875411964854,"cuGS638","Red","All Env"
-0.576951156543,"cuGS639","Red","All Env"
-0.394636050140339,"cuGS660","Red","All Env"
0.0574060004563391,"cuGS725","Red","All Env"
-0.290653313566684,"cuGS726","Red","All Env"
-0.67053976260321,"cuGS728","Red","All Env"
-0.136675759839037,"cuGS733","Red","All Env"
