Discard,Source,Entry,PLOT,PlotYldmoistcor,PlotYield,adj1,test MV10,adjustment,test MV8,adj,TW,Moisture,Lodging,HD,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn,AdjPHS,,Harvest,Other
,365,99042,2001,2267,2391,6327,5672,6204,5794,6083,75.5,17.2,0,4,0,1,0,0,1,0.4,-0.35,,17,
,183,94025,2002,2083,2174,5752,5730,5572,5866,5437,73.1,16.2,0,30,5,1,5,2,3,3.2,2.45,,17,
,Cal Res L,Cal Res L,2003,2124,2248,5948,5710,5788,5841,5657,72.7,17.5,0,30,5,6,5,5,6,5.4,4.65,,17,
,200,94025,2004,2194,2305,6099,5695,5954,5822,5827,75.6,16.8,0,30,0,6,6,6,7,5,4.25,,17,
,244,99012,2005,2119,2226,5890,5716,5724,5848,5591,73.3,16.8,0,4,4,4,4,3,2,3.4,2.65,,17,
,249,99059,2006,2357,2484,6573,5648,6483,5527,6596,74.1,17.1,0,2,6,4,1,5,3,3.8,3.05,,17,
,314,96023,2007,2152,2270,6006,5704,5852,5620,5936,72.6,17.2,0,4,3,4,7,3,1,3.6,2.85,,17,
,357,99023,2008,1600,1677,4437,5715,4272,5681,4306,74.1,16.6,2,4,4,3,1,1,5,2.8,2.05,,17,
,Superior,Superior,2009,2033,2133,5644,5562,5631,5447,5747,73.4,16.7,0,3,3,5,0,5,4,3.4,2.65,,17,
,343,97067,2010,1602,1676,4435,5623,4361,5530,4454,73.2,16.4,1,3,1,2,6,3,0,2.4,1.65,,17,BD 
,268,E0028,2011,2159,2244,5938,5409,6078,5203,6284,72.8,15.8,0,30,4,0,4,3,3,2.8,2.05,,17,
,65,94052,2012,1751,1839,4866,5428,4987,5213,5203,74.3,16.8,1,2,0,5,5,5,5,4,3.25,,17,
,304,96020,2013,1954,2052,5430,5184,5796,5174,5805,73.6,16.8,0,2,0,0,1,1,0,0.4,-0.35,,17,
,388,NY03084,2014,1929,2022,5350,5089,5811,5101,5798,75,16.6,0,2,5,5,5,6,7,5.6,4.85,,17,
,205,94077,2015,1974,2063,5459,5172,5836,5205,5803,72.3,16.3,0,30,6,5,6,6,2,5,4.25,,17,
,373,99054,2016,1814,1894,5012,5203,5358,5207,5354,72.3,16.2,0,4,3,2,4,6,5,4,3.25,,17,
,74,W105-79,2017,1689,1772,4689,5328,4910,5310,4929,77.2,16.7,0,2,1,7,5,5,5,4.6,3.85,,17,
,60,W105-149,2018,1803,1884,4985,5146,5389,5146,5389,76.9,16.3,0,3,4,3,3,5,4,3.8,3.05,,17,
,Caledonia,Caledonia,2019,1931,2031,5374,5130,5794,5064,5859,71.7,16.9,0,1,1,3,5,2,1,2.4,1.65,,17,
,327,96161,2020,1973,2081,5506,5091,5965,5013,6043,74.5,17.2,0,3,4,0,3,0,1,1.6,0.85,,17,
,59,W105-71,2021,1933,2026,5361,5092,5819,5056,5854,74.7,16.6,0,3,1,2,4,4,4,3,2.25,,17,
,333,96192,2022,1594,1669,4416,5167,4799,5246,4720,76.9,16.5,0,30,3,4,2,0,5,2.8,2.05,,17,
,337,96192,2023,1836,1923,5088,5211,5427,5305,5333,75.2,16.5,0,29,5,3,4,4,3,3.8,3.05,,17,
,198,94032,2024,1873,1957,5178,5219,5509,5229,5499,73.2,16.3,0,31,5,5,1,5,4,4,3.25,,17,
,Superior,Superior,2025,1883,1970,5213,5236,5526,5185,5577,73.5,16.4,0,3,5,0,1,3,0,1.8,1.05,,17,
,397,NY03143,2026,1906,1990,5266,5184,5632,5121,5694,74.3,16.2,0,29,3,0,6,5,5,3.8,3.05,,17,
,179,94064,2027,2210,2314,6123,5083,6590,5131,6541,74,16.5,0,30,5,4,0,2,5,3.2,2.45,,17,
D,17,U1254-4-9-5,2028,1752,1837,4861,5243,5167,5366,5045,77.4,16.6,0,28,1,1,2,1,1,1.2,0.45,,17,
,55,94025,2029,1885,1961,5189,5406,5332,5474,5264,75.8,15.9,0,3,5,2,4,0,3,2.8,2.05,,17,
,308,96021,2030,1765,1852,4900,5558,4892,5649,4801,74.8,16.7,0,3,0,3,0,1,2,1.2,0.45,,17,
,352,99011,2031,1927,2024,5356,5494,5411,5558,5348,75.2,16.8,0,3,5,5,5,1,2,3.6,2.85,,17,
,208,96148,2032,2054,2155,5702,5522,5730,5479,5773,73.7,16.7,0,3,4,5,5,1,0,3,2.25,,17,
,312,96021,2033,2301,2409,6374,5515,6409,5520,6404,74.7,16.5,0,3,9,8,6,5,5,6.6,5.85,,17,
,250,99038,2034,2289,2389,6321,5476,6395,5589,6282,74.4,16.2,0,4,1,0,1,3,5,2,1.25,,17,
,45,94081,2035,1814,1886,4990,5666,4874,5822,4718,74.3,15.8,0,2,0,0,0,1,0,0.2,-0.55,,17,
D,264,NY88046-7088,2036,2124,2208,5842,5570,5822,5680,5712,74.4,15.8,0,30,1,1,1,2,4,1.8,1.05,,17,
,199,96152,2037,2126,2215,5861,5657,5753,5690,5721,73.7,16,0,2,6,2,5,3,5,4.2,3.45,,17,
,Richland,Richland,2038,2064,2150,5689,5616,5623,5510,5729,74.8,16,0,1,5,5,7,4,6,5.4,4.65,,17,
,99,W105-32,2039,1949,2052,5430,5616,5363,5434,5546,74.9,17,0,2,2,5,3,5,1,3.2,2.45,,17,
,113,96052,2040,1828,1918,5075,5531,5094,5500,5125,73.8,16.7,0,1,2,5,4,5,0,3.2,2.45,,17,
,384,99068,2041,2081,2190,5795,5364,5980,5351,5994,74.6,17,0,3,7,5,6,2,7,5.4,4.65,,17,
,335,96192,2042,1738,1801,4765,5531,4784,5451,4864,73.6,15.5,0,4,3,3,3,1,3,2.6,1.85,,17,
,185,96049,2043,1980,2060,5451,5498,5503,5428,5572,72.8,15.9,0,32,5,5,5,0,4,3.8,3.05,,17,
,371,99052,2044,1857,1953,5168,5522,5195,5513,5204,73.7,16.9,0,3,5,6,7,6,7,6.2,5.45,,17,
,246,99038,2045,1944,2029,5369,5417,5501,5458,5460,72.1,16.2,0,3,1,0,1,4,0,1.2,0.45,,17,
,Jensen,Jensen,2046,2043,2128,5631,5419,5761,5415,5765,73.7,16,0,3,1,2,5,6,8,4.4,3.65,,17,
,201,94052,2047,2231,2341,6194,5382,6362,5408,6336,74.1,16.7,0,3,5,5,5,6,6,5.4,4.65,,17,
,126,96153,2048,2106,2201,5824,5471,5903,5562,5812,73.9,16.3,0,30,4,4,5,4,3,4,3.25,,17,
D,32,Purcell,2049,1747,1829,4840,5763,4626,5876,4513,73.2,16.5,0,4,0,2,1,5,1,1.8,1.05,,17,
,380,99066,2050,2060,2159,5713,5676,5587,5778,5485,73.3,16.6,0,31,3,2,1,2,3,2.2,1.45,,17,
,68,94032,2051,1905,1991,5268,5792,5026,5865,4953,74.6,16.3,0,2,4,4,4,0,4,3.2,2.45,,17,
