Source,Entry,PLOT,PlotYield,TW,Moisture,Lodging,Ht,HD,WH,Other
315,96025,2001,1850,70.3,10.6,3,112.5,29,100,
224,99021,2002,2012,76.4,11.1,0,112.5,1,100,
NY,NY7088,2003,2310,75.2,11,0,105,29,90,
217,99048,2004,2147,74.5,11.2,0,100,2,90,
592,NY01003-371,2005,2435,75.2,11.2,0,85,27,100,
557,NY01062-272,2006,2249,76.5,11.3,0,100,28,90,
451,M05-1526,2007,2399,77.3,11.3,0,95,26,100,
147,94058,2008,2138,74.2,11.4,0,90,31,100,
Rich,Richland,2009,2390,77.3,11.3,0,105,1,100,
118,94058,2010,2295,74.8,10.8,0,100,1,100,
NY,NY7088,2011,2377,75.6,11.1,0,105,30,100,
553,NY03010-252,2012,2295,74.4,11,0,90,29,100,
220,99043,2013,2342,73.8,11.4,0,105,31,100,
588,NY03015-361,2014,2200,73.8,11.6,0,95,31,100,
489,FS 430W,2015,2272,72.9,11.2,2,105,30,100,
427,TW531-003,2016,2255,74.7,11.5,0,95,1,100,
436,B030543,2017,2618,78.2,11.5,1,95,28,100,
456,P02444A1-23-1,2018,2224,73.3,10.8,0,85,28,100,
230,99068,2019,2245,74.6,11.6,0,105,31,100,
569,NY99069-310,2020,2173,71.4,10.8,0,95,28,100,
503,NY99055-135,2021,2232,73.7,10.7,1,100,30,100,
507,NY01009-143,2022,2226,74.7,11.2,0,85,28,100,
Jen,Jensen,2023,2153,73.9,11.3,0,100,31,100,
464,Probe exp.,2024,2435,76.4,11.4,0,95,30,90,
504,NY99028-137,2025,2472,75.8,11.9,0,100,1,100,
450,M05-1172,2026,2180,74.5,11.5,0,80,28,100,
413,NY07023-150,2027,2183,75.8,11.2,1,110,28,95,
501,NY03093&94-130,2028,2442,74.4,10.7,0,90,28,100,
428,TW528-001,2029,2330,74.2,11.7,0,105,31,100,
528,NY03015-202,2030,2380,74.6,11.2,0,100,28,95,
Cal,Caledonia,2031,2441,73.6,11.2,0,90,28,100,
545,NY01005-235,2032,2444,74.7,11.7,0,80,28,100,
325,96066,2033,2431,73.7,11.7,0,105,31,90,
69,W105-30,2034,2187,75.7,11.3,2,115,30,95,
169,96030,2035,2378,74.2,10.8,0,100,28,100,
NY,NY7088,2036,2396,75.5,11.2,0,105,29,95,
484,Pioneer 25R39,2037,2548,75.5,11.6,2,95,26,100,
435,IL02-19463,2038,2248,77.1,10.8,1,100,24,90,
96,W105-54,2039,1984,75.8,11.2,0,95,31,95,
589,"NY03110,1,2,5,6-362",2040,2209,76,11.1,0,100,29,95,
508,NY99049-144,2041,2342,71.5,10.7,0,90,28,90,
166,94052,2042,2435,75.5,11.1,0,95,28,95,
410,NY07020-147,2043,2629,75.3,11.4,0,90,26,95,
Cal,Caledonia,2044,2193,74.2,11,0,85,28,100,
594,NY05161-5-407,2045,2054,76.7,11.4,2,100,26,100,
480,SW80,2046,2326,74.9,10.8,1,100,27,95,
583,NY01023-347,2047,2189,74.4,11.2,0,90,31,100,
341,96195,2048,2227,75.8,12,0,100,29,100,
551,NY99045-250,2049,2198,74.6,11.6,2,100,27,100,
521,NY03082-183,2050,2246,73.2,11.3,2,95,28,95,
Jen,Jensen,2051,2082,73.8,11.2,0,100,30,100,
212,96193,2052,2227,75.1,11.6,1,105,30,100,
527,NY03008-200,2053,2362,75,11.4,0,90,26,95,
434,LA01*425,2054,2618,77,12.3,0,95,25,100,
544,NY03015-231,2055,2484,76.3,11.7,0,95,30,95,
Rich,Richland,2056,2376,76,11.4,0,105,30,90,
491,NY99028-111,2057,2214,75.3,11.5,0,100,31,100,
431,Roane,2058,2558,78,11.6,1,85,26,85,
476,R055,2059,2399,76,11.2,1,90,27,100,
Cal,Caledonia,2060,2506,75.1,11.1,0,95,28,100,
459,W06-522A,2061,2102,75.1,11.1,3,95,27,95,
546,97083-236,2062,2280,75.7,11.3,1,95,30,95,
590,NY99049-364,2063,2289,75.3,11.2,0,90,28,100,
41,94025,2064,1912,75.7,11.1,2,105,31,95,
Cal,Caledonia,2065,2060,71.2,11,3,95,28,95,
600,8080xCal-211-444,2066,2070,78,11.8,0,115,26,90,
393,NY03086,2067,2207,74.7,11.1,1,100,31,100,
578,NY99069-328,2068,2457,76.5,12.1,0,92.5,27,95,
402,NY07011-138,2069,2467,73.4,10.9,0,85,28,95,
533,NY01066-215,2070,2331,74.1,11,0,105,29,90,
474,Bess,2071,2371,76.2,11.8,1,95,26,90,
255,99019,2072,2501,74.4,11.5,0,95,1,85,
403,NY07012-139,2073,2460,73.9,11.3,0,90,29,100,
444,OH05-248-38,2074,2540,76.4,11.8,0,85,25,80,
NY,NY7088,2075,2276,75.4,11.4,0,105,29,95,
373,99054,2076,2072,73.3,11.5,0,105,1,90,
541,NY01002-227,2077,2259,75.2,11.7,0,85,31,100,
213,99060,2078,2201,77.5,11.5,0,90,28,95,
585,NY01005-356,2079,2166,75.9,12.2,0,95,31,100,
601,8080xCal-70-449,2080,2401,77,13.6,1,110,28,95,
408,NY07017-144,2081,1940,75.9,11.6,3,115,26,90,
420,MSU Line E5024,2082,2224,74.4,11.7,0,80,30,100,
453,B040798,2083,1954,74.8,11.6,0,85,28,85,
495,NY99049-117,2084,2404,74.8,11.2,0,90,27,100,
Rich,Richland,2085,2335,76.3,11.2,0,105,29,95,
593,NY05143-2-397,2086,2079,73.7,11.1,0,97.5,27,90,
404,NY07013-140,2087,2403,72.7,11.2,0,100,28,95,
461,Z03-0496,2088,2229,76.5,11.9,0,85,25,100,
473,7730R,2089,2588,78.5,11.8,0,95,25,95,
116,94025,2090,2104,74.6,11.2,0,95,29,95,
603,OH02-12678,2091,2446,74.8,11.3,0,95,30,95,
572,NY01066-313,2092,2403,74.5,11.4,1,95,29,95,
471,NC05-21090,2093,2351,78,11.4,0,80,27,100,
160,96052,2094,2312,75.7,11.5,0,95,30,100,
Jen,Jensen,2095,2338,74.9,11.2,0,100,30,100,
