Source,Entry,PLOT,KC,PlotYield,TW,Moisture,YldCorKgH,Lodging,Ht,HD,WH,Bird
738,NY07106-165,2001,R,1297,74.6,11.8,3439,0,96,3-Jun,,3
603,OH02-12678,2002,R,1387,72.3,11.6,3685,0,91,4-Jun,,5
575,NY99069-323,2003,,1129,71.9,10.6,3029,0,78,3-Jun,,5
46,94032,2004,,1395,72.3,11.5,3710,0,90,4-Jun,,3
472,SW50,2005,R,1304,72.4,11.6,3464,0,83,3-Jun,,3
442,OH04-264-58,2006,R,1545,71.6,11.8,4096,0,85,1-Jun,,2
634,G89267,2007,R,1697,75.7,12,4490,0,86,30-May,,
557,NY01062-272,2008,,1225,72.1,11.5,3258,0,91,2-Jun,,
529,NY03015-203,2009,,1209,73,12.1,3196,0,85,1-Jun,,
OH751,OH751,2010,R,1627,73.4,12.1,4301,0,95,31-May,,
545,NY01005-235,2011,,1329,72.8,11.7,3527,0,76,3-Jun,,
153,94077,2012,,1175,70.7,11.6,3121,0,85,6-Jun,,
513,NY03009-159,2013,,1141,71.1,11.8,3025,0,86,6-Jun,,
718,NY04056-1-WC,2014,,1724,73.1,11.8,4571,0,95,31-May,,5
588,NY03015-361,2015,,1417,72.4,11.3,3776,0,87,4-Jun,,2
494,NY01020-116,2016,,1383,73.3,12,3659,0,93,31-May,,
638,NX05M4180-6,2017,R,1100,72.9,10.5,2954,1,84,31-May,,
741,NY07106-124,2018,R,1514,73.3,11.7,4018,0,96,3-Jun,,
138,96049,2019,,1432,73.5,11.6,3804,0,96,3-Jun,,
659,NY04050,2020,,1343,73.4,11.6,3568,0,95,1-Jun,,3
Jen,Jensen,2021,,1104,72.6,12.1,2918,0,81,3-Jun,,
394,NY03089,2022,,1495,74.2,11.6,3972,0,85,31-May,,
716,NY01016-AN,2023,,1644,74.1,11.2,4385,0,92,31-May,,
573,NY99027-317,2024,,1320,72.6,11.4,3514,0,74,3-Jun,,
93,94042,2025,,1356,72.6,11.7,3599,0,86,3-Jun,,
393,NY03086,2026,,1460,73.7,11.6,3879,0,94,4-Jun,,
37,Cayuga,2027,,1246,74.4,11.6,3310,0,107,3-Jun,,
552,NY99028-251,2028,,1486,71.8,11.4,3956,0,90,3-Jun,,
479,Pioneer_25R47,2029,R,1452,72.9,12.4,3827,0,79,31-May,,
787,NY06073-124,2030,M,1463,72.7,11.6,3887,0,81,31-May,,
665,EG289-2,2031,,1334,71.7,12,3530,0,87,3-Jun,,
7088,NY7088,2032,,1327,73,11.7,3522,0,92,3-Jun,,
273,NY03179FHB.12,2033,,1316,70.7,11.4,3503,0,86,31-May,,
412,NY07022-149,2034,,1378,74.1,11.6,3661,1,100,5-Jun,,
117,94063,2035,,1467,72.3,12,3882,0,88,3-Jun,,
488,FS_801,2036,R,1211,74.9,12.2,3198,0,80,31-May,,
134,96056,2037,,1314,71.7,11.6,3491,0,86,31-May,,
426,TW435-025,2038,,1533,72.5,11.8,4064,0,100,31-May,,
Rich,Richland,2039,,1620,74.1,11.7,4299,0,100,1-Jun,,
427,TW531-003,2040,,1292,75.2,11.7,3429,0,83,4-Jun,,
270,Cal_4PHS.10,2041,,1392,72.3,11.8,3691,0,77,1-Jun,,
61,W105.84,2042,,1403,74,11.7,3723,0,93,4-Jun,,
461,Z03-0496,2043,R,1680,76.1,11.8,4454,0,86,29-May,,
36,Batavia,2044,,1278,71.1,11.7,3392,0,97,4-Jun,,
597,8080x7388-160-419,2045,,1397,74.5,11.9,3700,0,90,31-May,,
448,G89201,2046,R,1819,74.8,11.7,4828,0,95,31-May,,
727,NY07105-76,2047,,1268,71.5,11.7,3365,1,100,2-Jun,,
460,Z03-1281,2048,R,1629,70.9,11.7,4323,0,85,30-May,,
Cal,Caledonia,2049,,1530,71.8,11.7,4061,1,85,1-Jun,,
559,NY99069-274,2050,,1164,73.7,12,3080,7,86,1-Jun,,
541,NY01002-227,2051,,1371,72.5,12,3628,0,83,2-Jun,,
600,8080xCal-211-444,2052,,1271,74.8,11.8,3370,0,110,1-Jun,,
432,INW0411,2053,R,1177,74.4,11.1,3142,0,80,30-May,,
167,96153,2054,,1335,73.9,11.3,3557,0,80,31-May,,3
586,99046-357,2055,,1200,72.7,11.5,3191,0,95,4-Jun,,
536,NY99069-222,2056,,1059,71.6,11.3,2822,0,76,3-Jun,,5
745,NY07103-97,2057,,999,72.6,11.2,2665,0,82,1-Jun,,
