GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
1193,NY01066-1193,1,2001,2345,78,15.07,R,1,1,20,2158,R,W,N,,,31,88,1,,,,,
716_check,NY01016-AN-716,1,2002,1901,79.9,13.75,W,1,2,21,checkPlots2015,W,W,A,,,31,94,2,,,,100,
OH1,OH12-123-5,1,2003,2413,80.2,13.65,R,1,3,60,2455,R,W,N,10% T,,30,74,1,,,,,
610,SE00 10303-35,1,2004,2600,80.6,13.4,W,1,4,61,2357,W,W,N,,,30,92,1,,,,,
1263,NY10086-6-09-1263,1,2005,2257,80,12.84,W,1,5,100,2315,W,BR/W,N,,,31,95,1,,,,,50
891,NY07099-891,1,2006,2146,79.2,12.69,50W,1,6,101,3479,S,W,,"B/G, Ht, 10% A",,30,86,2,,,,5,5
1292,NY10108-2-30-1292,1,2007,2110,79.9,13.04,W,1,7,140,2470,W,W,N,,,31,88,0,,,,,
MSU5,MSU Line F1047,1,2008,2475,80.3,12.98,W,1,8,141,2467,W,W,N,,,31,82,2,,,,,
OH3,OH12-114-5,1,2009,2259,79.1,12.91,R,1,9,180,2020,R,W,A,,,29,88,1,,,,100,
OH44,OH13-57-12,1,2010,2438,82.5,12.92,R,1,10,181,2285,R,W,N,,,30,92,0,,,,,
846,NY05158-846,1,2011,2183,82.4,13.22,W,1,11,220,2256,W,BR,N,,,29,84,0,,,,100,100
MSU80,MI14R0113,1,2012,2309,80,12.61,R,1,12,221,NA,R,,,,,28,92,1,,,,,5
OH39,OH13-45-2,1,2013,2304,78.6,13.13,R,1,13,260,2029,R,W,A,,,31,94,1,,,,100,
35_check,Caledonia,1,2014,2431,79.8,12.81,W,1,14,261,checkPlots2015,W,W_BR/W,N,,,31,94,1,,,,,5
1293,NY10108-2-46-1293,1,2015,2262,78.8,12.97,R,1,15,300,2073,R,W,N,,,31,94,0,,,,,
MSU90,MI14R0225,1,2016,2086,79.4,12.55,R,1,16,301,NA,R,,,,,30,106,2,,,,100,
1370,NY11025-07-10-1370,1,2017,2465,79.1,13.19,W,1,17,340,180,W,,,,,1,94,0,,,,,
1286,NY10102-1-71-1286,1,2018,2334,79.4,12.81,W,1,18,341,2209,W,W,N,,,31,102,1,,,,,
