Source,Entry,PLOT,PlotYield,RogAdd,Moisture,YldCor,YldCorKgH,test,adjkg/h,TW,Ht,HD,WH,All Roguing,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn
1,American Banner,3237,1519,1519,13.2,1501,3971,4860,2444,78.4,135,6/3,100,0,5,0,0,5,3,2.6
2,DawsonGoldenChaff,3160,1679,1694,12.3,1674,4429,4962,3386,75.3,133,6/4,100,5,1,3,0,2,2,1.6
3,Fulcaster4862,3379,1636,1636,14.3,1598,4229,4389,4374,78.2,135,6/4,100,0,0,0,0,0,0,0
4,Genesee Giant,3163,1584,1599,13.7,1557,4120,4618,3477,77.1,121,6/2,100,5,4,1,0,2,4,2.2
5,Goldcoin,3340,1702,1735,14.2,1665,4404,5183,2734,77.1,120,6/3,100,11,3,0,4,5,0,2.4
6,Golden,3060,1686,1746,13.9,1654,4376,5104,2870,75.7,115,6/5,100,20,3,2,0,1,0,1.2
7,Grandprize,3166,1453,1573,13.3,1434,3795,4586,2702,76,114,6/4,100,40,3,2,5,1,3,2.8
8,Jones Fife,3179,1728,1746,14.2,1690,4472,4813,3893,76.2,130,6/3,100,6,0,4,0,0,0,0.8
9,Longberry#1,3332,1600,1633,13,1584,4191,5146,2269,78.8,140,6/4,100,11,0,0,0,0,3,0.6
10,Martin,3376,1374,1383,14.9,1334,3530,4543,2115,77.6,130,6/4,100,3,1,0,0,0,0,0.2
11,Pride of Genesee,3429,1252,1267,13.2,1237,3273,5108,-60,79.8,140,6/5,100,5,3,0,2,3,2,2
12,Rural New Yorker,3115,1226,1238,13.7,1205,3189,4680,851,78.9,140,6/5,100,4,1,3,1,2,0,1.4
13,Vermont Winter Reeds,3209,1714,1798,13,1697,4490,4913,3675,76.5,130,6/6,100,28,2,3,2,4,4,3
14,NY 6432-10,3455,1778,1940,15,1725,4563,4546,4842,75.9,93,6/5,100,54,3,5,3,4,4,3.8
15,NY 6432-18,3077,1590,1620,14.6,1549,4098,4757,3051,74.1,95,6/3,100,10,1,4,5,5,5,4
16,Stephens,3453,1758,1824,15.3,1700,4498,4625,4459,74.9,85,5/30,100,22,2,1,2,0,0,1
17,U1254-4-9-5,3120,1768,1864,13,1750,4631,5000,3821,78.7,87,5/30,100,32,5,0,5,4,5,3.8
18,U1266-4-11-6,3213,1757,1808,13.3,1734,4589,5293,2930,76.2,95,6/1,100,17,1,4,1,4,0,2
19,U1273-5-18-8,3328,1682,1835,13,1665,4406,5216,2651,78.2,110,6/1,100,51,1,1,2,0,5,1.8
20,Honor,3317,1717,1729,13,1700,4498,5262,2773,76.4,125,6/4,100,4,4,2,3,4,4,3.4
21,Forward,3220,1964,2000,12.9,1946,5150,5265,4490,77.8,125,6/4,100,12,0,0,0,0,0,0
22,Cornell595,3254,1878,1893,13.8,1844,4880,4939,4639,76.4,130,6/3,100,5,1,2,3,0,0,1.2
23,Yorkwin,3054,1245,1290,12.6,1238,3275,4621,1232,76.3,120,6/3,100,15,3,4,2,1,2,2.4
24,Valprize,3087,1754,1781,15.3,1696,4488,4337,5196,75.5,120,6/4,100,9,6,1,3,0,1,2.2
25,Genesee,3165,1746,1782,13.8,1715,4537,4652,4491,75.4,112,6/3,100,12,5,5,5,1,4,4
26,Avon,3408,1732,1783,12.8,1718,4546,5300,2800,76.8,123,6/4,100,17,5,4,0,0,3,2.4
27,Arrow,3167,1909,1972,14,1871,4950,4494,6002,75.2,120,6/2,100,21,3,4,4,5,3,3.8
28,Yorkstar,3197,1870,1927,13.6,1840,4869,4647,5383,73.8,107,6/2,100,19,0,5,5,7,6,4.6
29,Ticonderoga,3367,1814,1850,14.7,1765,4670,4516,5205,73.7,95,6/5,95,12,3,4,5,2,0,2.8
30,Susquehanna,3363,1910,1946,15.1,1851,4897,4629,5505,75.6,95,6/5,100,12,0,0,0,0,0,0
31,Houser,3325,1951,2167,12.6,1939,5131,5054,5000,75.5,105,6/4,100,72,6,5,3,1,6,4.2
32,Purcell,3344,1963,2035,13.1,1941,5137,4993,5176,75.9,100,6/3,100,24,8,7,4,6,6,6.2
33,Geneva,3377,1784,1811,14.9,1732,4584,4376,5344,75,95,6/1,100,9,6,8,6,6,7,6.6
34,Richland,3180,1894,1930,14.5,1847,4886,4711,5259,75.3,95,6/1,100,12,5,5,4,4,2,4
35,Caledonia,3359,1845,1902,15.2,1786,4726,4738,4763,74.8,80,6/2,100,19,6,6,5,6,6,5.8
36,Batavia,3245,2375,2423,14.1,2325,6152,5016,7802,76.7,105,6/5,100,16,0,1,3,3,0,1.4
37,Cayuga,3306,2159,2186,14.4,2107,5576,5413,5226,80,115,6/3,100,9,1,0,0,1,0,0.4
38,94032,3253,1906,2044,14,1868,4942,4931,4826,77.8,85,6/3,100,46,5,2,2,0,4,2.6
39,W105-34,3353,1564,1570,14.3,1528,4043,4848,2667,77.1,110,6/2,95,2,5,0,2,6,5,3.6
40,93237SP,3078,1888,2020,15,1831,4846,4643,5333,75.4,85,6/2,100,44,3,2,0,0,0,1
41,94025,3011,1698,1704,14.3,1659,4390,4662,4076,76.1,95,6/3,100,2,2,3,1,0,0,1.2
42,W105-17,3040,1617,1635,12.9,1602,4240,4234,4811,78.4,100,6/2,95,6,1,0,1,3,3,1.6
43,W105-93,3085,1749,1755,16.6,1669,4415,4148,5501,76.2,110,6/2,100,2,1,3,3,3,2,2.4
44,W105-82,3395,1967,2030,13.6,1936,5121,5094,4868,77.7,103,6/2,100,21,4,4,5,2,4,3.8
45,94081,3413,1710,1755,12.5,1701,4502,5190,2976,78.8,85,6/3,100,15,6,5,5,6,5,5.4
46,94032,3053,1793,1826,13.3,1770,4683,4276,5873,71.7,90,6/2,100,11,0,4,3,0,4,2.2
47,94032,3232,1918,1930,12.5,1908,5050,4706,5705,76.4,95,5/30,100,4,2,1,4,5,6,3.6
48,93244,3144,1396,1453,12.5,1389,3675,4483,2659,74.4,100,5/31,100,19,5,5,4,5,5,4.8
49,94024,3013,1874,1922,14.4,1829,4840,4601,5427,75.6,85,6/3,95,16,5,5,4,2,2,3.6
50,94052,3066,1671,1746,12.4,1664,4404,4805,3733,75.6,95,5/31,100,25,0,1,2,3,3,1.8
51,W105-151,3106,2109,2130,15,2046,5413,4576,7011,78.3,102,6/2,100,7,4,1,2,2,1,2
52,93301,3191,1786,1891,14.8,1736,4593,4932,3900,75.6,90,6/2,100,35,1,5,5,3,4,3.6
53,93237SP,3423,1702,1747,12.8,1688,4467,4959,3496,78.4,105,6/2,100,15,4,4,4,2,0,2.8
54,W105-156,3421,2046,2079,14,2005,5305,4997,5611,80.5,100,6/3,100,11,2,1,4,2,4,2.6
55,94025,3200,1604,1631,14.3,1567,4147,4545,3740,78.2,85,6/3,100,9,1,4,0,2,3,2
56,W105-78,3049,1667,1685,12.8,1654,4376,4599,4204,78.9,90,6/3,100,6,0,0,0,0,1,0.2
57,SUPERIOR,3428,2185,2257,13.7,2148,5683,4891,6890,76.6,105,6/3,100,24,4,5,5,3,5,4.4
58,94046,3316,1853,1892,12.5,1844,4879,5334,3590,79.8,90,6/4,100,13,2,1,4,2,3,2.4
59,W105-71,3246,2304,2541,14.1,2256,5968,5191,6852,80.7,100,6/5,100,79,4,4,1,3,4,3.2
60,W105-149,3301,1971,1971,14.3,1926,5095,4924,5248,78.2,115,6/3,100,0,2,4,1,3,2,2.4
61,W105-84,3146,2069,2147,13.1,2046,5414,4547,7091,79,95,6/3,100,26,1,1,1,0,1,0.8
62,W105-63,3009,1804,1837,16.1,1730,4578,4679,4526,77.1,105,6/1,95,11,3,5,0,0,2,2
63,94025,3094,2371,2389,15.7,2283,6042,4768,8165,75.6,107,5/31,100,6,0,1,1,3,1,1.2
64,W105-129,3327,2063,2069,13,2042,5404,5254,5192,79.5,115,6/2,100,2,4,2,4,4,4,3.6
65,94052,3392,1820,1883,14.1,1782,4715,4684,4878,76.1,95,6/4,95,21,3,3,2,4,0,2.4
66,94025,3121,1736,1742,13.6,1708,4520,5134,3170,76.9,110,6/1,100,2,0,1,4,0,3,1.6
67,W105-137,3385,1676,1736,14.6,1632,4319,4698,3795,77.3,93,6/2,100,20,3,3,5,4,4,3.8
68,94032,3277,1834,1864,15.7,1766,4673,4521,5199,76.7,90,6/2,100,10,6,5,6,5,5,5.4
69,W105-30,3266,1951,1963,14.7,1898,5023,4951,4986,77.5,105,6/2,100,4,3,3,1,4,3,2.8
70,94025,3027,1978,2035,14.2,1934,5119,4737,5805,76.9,93,6/3,100,19,0,0,0,1,1,0.4
71,W105-57,3406,2124,2166,13.4,2094,5541,5288,5467,80.7,110,6/4,100,14,0,3,0,1,0,0.8
72,93301,3188,1792,1831,14.9,1740,4604,4873,4085,76.1,85,6/3,95,13,4,1,1,1,5,2.4
73,W105-159,3158,2185,2257,14.1,2139,5660,4998,6547,79.1,101,6/3,100,24,0,1,0,0,1,0.4
74,W105-79,3186,2005,2029,16.3,1919,5077,4934,5173,78.5,105,6/2,100,8,1,1,2,0,0,0.8
75,94025,3335,2213,2222,14.3,2162,5721,5103,6429,78.5,105,6/5,100,3,3,0,2,2,2,1.8
76,W105-116,3305,2183,2234,14.4,2131,5638,5334,5599,78.5,95,6/3,100,17,5,3,0,3,4,3
77,94052,3357,1772,1802,14.6,1726,4567,4667,4530,74.6,85,5/31,100,10,2,1,3,5,6,3.4
78,94025,3092,1693,1705,15.7,1630,4314,4826,3441,75.6,90,6/3,100,4,1,1,0,0,1,0.6
79,94052,3176,2074,2113,15.2,2008,5312,4779,6206,75.8,80,6/3,100,13,0,3,1,2,0,1.2
80,94032,3294,1935,1968,14.8,1881,4977,4645,5673,78.6,95,6/3,100,11,0,1,3,3,0,1.4
81,93308,3372,1752,1809,15.1,1698,4492,4511,4745,76,90,6/2,100,19,4,4,4,4,5,4.2
82,94052,3124,2327,2411,13.4,2294,6071,5048,7501,77.5,95,6/4,100,28,0,1,2,4,0,1.4
83,93306,3156,2034,2073,13.5,2003,5301,5084,5369,76.5,103,6/2,100,13,4,5,4,5,5,4.6
84,94052,3337,1837,1876,13.6,1808,4783,5118,3909,77.9,90,6/4,100,13,3,3,4,6,5,4.2
85,93246SP,3023,2030,2159,,2274,6016,4579,8598,,90,6/1,100,43,4,4,2,1,4,3
86,W105-97,3169,1754,1766,14.4,1712,4530,4734,4255,76.3,115,6/1,100,4,1,3,3,4,1,2.4
87,W105-40,3394,1940,1946,13.4,1913,5061,4910,5195,78.9,120,6/3,100,2,4,0,3,2,4,2.6
88,W105-136,3133,1511,1535,13.7,1485,3930,4001,4609,78.5,105,6/2,100,8,1,1,4,0,0,1.2
89,94025,3089,1582,1624,15.8,1522,4027,4519,3494,76.8,90,6/3,100,14,1,0,2,1,1,1
90,94025,3274,1640,1649,15.2,1588,4201,4570,3818,74.9,95,5/31,100,3,4,1,5,2,0,2.4
91,94025,3243,2111,2186,13.6,2077,5496,5032,6025,80.8,105,6/3,100,25,0,1,0,1,0,0.4
92,W105-108,3292,1768,1810,14.2,1729,4575,4763,4299,76.6,95,6/2,95,14,4,5,4,4,4,4.2
93,94042,3383,1876,1921,14.5,1829,4840,4609,5407,78.2,85,6/4,100,15,3,5,4,0,3,3
94,W105-146,3024,1695,1899,14.6,1651,4368,4819,3604,77.1,102,6/1,100,68,3,4,3,2,0,2.4
95,94052,3360,1919,2003,15.2,1858,4915,4622,5571,75.5,90,6/4,100,28,3,1,5,4,0,2.6
96,W105-54,3381,1625,1676,14.1,1591,4209,4454,4149,77.7,85,6/2,100,17,3,0,3,2,2,2
97,94025,3084,1636,1645,15.8,1574,4164,4315,4398,76.3,85,6/1,100,3,1,0,2,0,0,0.6
98,94052,3437,1736,1787,14.6,1691,4474,4562,4564,75.5,85,6/1,100,17,3,4,5,4,1,3.4
99,W105-32,3007,1596,1629,15.8,1535,4063,4670,3189,75.9,95,6/3,95,11,2,4,1,2,4,2.6
100,93237SP,3240,1719,1905,12.7,1707,4517,4837,3949,77.6,100,6/2,100,62,3,3,2,4,0,2.4
101,94025,3055,1652,1664,12.4,1645,4354,4632,4058,77.5,105,6/1,100,4,0,2,3,0,0,1
102,96049,3314,2012,2042,12.7,1998,5286,5196,5034,75.6,105,6/1,100,10,6,3,7,4,4,4.8
103,96009,3116,1830,1845,13.5,1803,4770,4501,5506,74.1,96,5/31,100,5,6,5,3,4,5,4.6
104,94046,3427,1973,2027,13.3,1947,5153,4871,5542,76.5,95,6/4,100,18,5,4,2,4,0,3
105,94025,3261,1993,2011,14.1,1951,5163,4988,5259,76.1,80,5/31,100,6,4,4,4,2,5,3.8
106,94052,3175,2006,2015,15.4,1938,5127,4854,5519,74.2,82,6/2,100,3,1,0,3,5,1,2
107,96067,3032,1854,1911,13,1835,4857,4776,5009,75,83,6/1,100,19,5,5,4,2,3,3.8
108,94035,3042,1866,1881,13.2,1844,4878,4128,6781,76.5,80,6/2,100,5,4,2,5,5,4,4
109,96002,3101,1805,1823,15,1751,4633,4602,4877,77.3,90,6/3,100,6,1,1,4,2,0,1.6
110,94046,3348,1740,1776,14.1,1703,4507,5035,3399,74.8,90,6/3,100,12,6,7,5,3,4,5
111,94052,3278,1679,1751,14.8,1632,4318,4711,3755,75.7,85,6/1,100,24,4,1,5,2,3,3
112,94061,3151,2057,2120,13.5,2026,5361,5116,5444,77.5,95,6/3,100,21,3,4,4,5,2,3.6
113,96052,3272,1809,1845,14.9,1757,4648,4626,4853,75.6,80,6/1,100,12,5,5,5,5,6,5.2
114,94024,3375,1809,1839,14.5,1764,4667,4421,5445,76.3,85,6/2,100,10,3,2,4,7,1,3.4
115,96017,3400,2064,2139,13.8,2027,5363,5425,4631,77.7,90,6/3,100,25,4,4,4,4,3,3.8
116,94025,3086,1528,1552,15,1482,3922,4348,3667,77,80,6/3,100,8,0,2,2,0,0,0.8
117,94063,3452,1952,1961,15,1893,5010,4626,5813,74.6,90,6/4,95,3,4,4,1,4,2,3
118,94058,3247,1801,1816,12.8,1787,4727,5410,2988,77,95,6/2,100,5,6,6,8,7,7,6.8
119,94052,3102,1827,1839,15.4,1765,4670,4723,4655,75,80,6/4,95,4,5,5,5,4,-,4.8
120,94052,3139,1663,1672,12.7,1651,4369,4084,5551,76.9,85,6/3,100,3,2,5,4,3,4,3.6
121,94025,3273,1683,1692,15,1633,4320,4585,4093,75.2,83,6/1,100,3,5,5,5,6,4,5
122,96056,3270,1852,1894,15,1796,4753,4643,5087,74.6,75,6/3,100,14,5,5,8,5,5,5.6
123,96157,3134,1478,1490,12.3,1474,3899,3901,4790,72.6,80,5/28,95,4,5,5,4,5,5,4.8
124,94058,3323,2090,2102,12.7,2075,5491,5267,5391,76.1,100,6/2,100,4,6,5,7,6,5,5.8
125,94081,3147,1780,1801,11.9,1782,4715,4783,4614,72.8,86,6/3,100,7,8,6,5,5,7,6.2
126,96153,3149,1987,2002,12.7,1973,5221,5047,5256,76.6,88,5/31,100,5,4,3,0,3,6,3.2
127,94052,3248,1966,2038,13.5,1937,5124,5267,4418,77.8,90,6/2,100,24,3,4,1,4,4,3.2
128,96147,3196,1697,1733,14,1663,4400,4851,3603,76,85,6/1,100,12,5,4,1,5,4,3.8
129,96067,3338,2056,2107,14.3,2009,5315,5082,5413,76.9,80,6/4,100,17,5,3,7,3,3,4.2
130,94052,3283,1870,1915,15,1814,4800,4923,4469,76.8,90,6/3,100,15,5,4,3,5,7,4.8
131,96056,3104,1504,1510,14.1,1472,3896,4676,2731,75.1,85,6/2,95,2,5,2,4,3,2,3.2
132,96033,3309,2154,2193,13.8,2115,5597,5490,5078,76.4,90,6/3,100,13,4,4,3,5,4,4
133,94052,3002,2119,2167,15.6,2043,5405,4580,6978,72,100,5/31,100,16,2,5,5,1,4,3.4
134,96056,3216,2364,2403,13.6,2326,6155,5253,7183,77.7,95,6/2,100,13,4,2,5,6,0,3.4
135,94058,3119,2163,2184,13.1,2139,5660,4511,7837,76.5,95,6/2,100,7,2,5,4,4,4,3.8
136,94025,3422,1835,1862,13.1,1815,4802,4990,4298,78.5,85,6/3,100,9,4,0,2,3,3,2.4
137,94042,3082,1671,1683,13.5,1646,4355,4553,4273,75.5,90,6/2,100,4,1,5,5,2,5,3.6
138,96049,3065,1910,1946,14.1,1870,4948,4931,4840,76.2,95,6/2,95,12,3,4,6,3,1,3.4
139,94081,3068,1734,1776,13.8,1703,4506,4749,4152,74.5,80,6/5,100,14,4,5,5,4,4,4.4
140,96008,3263,1998,2007,14.4,1950,5160,4898,5489,75,85,6/1,100,3,1,3,3,2,4,2.6
141,94052,3290,1793,1823,14.3,1752,4635,4795,4373,75.7,85,6/2,100,10,5,5,6,5,5,5.2
142,94052,3073,1749,1761,14.3,1709,4521,4642,4476,73.6,85,6/4,100,4,5,4,1,4,5,3.8
143,96009,3014,1941,1965,14.3,1896,5018,4554,6024,73.4,80,6/2,100,8,3,5,4,5,5,4.4
144,96052,3256,1760,1766,14,1725,4564,4770,4249,77,80,6/2,100,2,4,4,1,2,0,2.2
145,94052,3052,1712,1757,12.8,1698,4494,4297,5316,76.6,80,6/2,100,15,2,0,1,2,1,1.2
146,96153,3221,1893,1929,12.4,1885,4989,5077,4561,76.8,90,5/31,100,12,2,3,5,4,5,3.8
147,94058,3389,1644,1665,14.1,1609,4259,4804,3352,76,80,6/3,100,7,5,4,3,4,1,3.4
148,96063,3005,1870,1921,14.8,1818,4809,4654,5206,72.9,85,6/2,100,17,3,6,5,5,5,4.8
149,94058,3022,1695,1719,14,1661,4395,4689,4018,76.6,90,6/3,95,8,4,3,4,3,3,3.4
150,94046,3410,1969,1984,12.9,1951,5163,5039,5122,77.5,100,6/2,100,5,1,3,5,5,1,3
151,94052,3382,1891,1903,14.5,1844,4878,4526,5729,76.2,90,6/3,100,4,2,3,0,2,2,1.8
152,94064,3396,1649,1676,13.1,1631,4315,5253,2315,74.9,90,6/3,100,9,4,5,4,3,4,4
153,94077,3293,1812,1857,14.2,1772,4689,4674,4835,75.6,80,6/4,100,15,4,3,4,4,4,3.8
154,94042,3198,1855,1861,13.1,1835,4854,4678,5261,74.1,90,6/1,100,2,3,7,6,5,5,5.2
155,94025,3299,1909,1924,14.1,1869,4945,4754,5301,78.2,80,6/4,95,5,3,5,4,3,3,3.6
156,96011,3035,2052,2061,12.5,2042,5402,4659,6762,75.7,105,6/3,100,3,4,3,2,1,3,2.6
157,94052,3181,1604,1616,15,1556,4117,4772,3063,75.1,90,6/1,100,4,3,0,0,0,4,1.4
158,96150,3219,2038,2068,12.9,2020,5344,5371,4724,76.5,90,6/3,100,10,4,0,2,3,1,2
159,96047,3152,1859,1898,13.2,1837,4860,5252,3758,77.2,95,6/3,100,13,4,3,4,4,1,3.2
160,96052,3324,2139,2166,13.2,2113,5592,5098,6103,79.8,90,6/3,100,9,4,4,3,3,4,3.6
161,94024,3033,1956,1995,12.4,1948,5155,4794,5751,76.1,85,6/1,100,13,8,7,6,5,8,6.8
162,96018,3284,1893,1929,15.3,1831,4844,5023,4320,77.4,85,6/1,95,12,4,4,5,4,5,4.4
163,96052,3390,1793,1799,14.3,1752,4635,4850,4228,75.8,85,6/4,95,2,1,4,1,0,4,2
164,94052,3268,2074,2116,14.9,2014,5329,4774,6263,76.5,80,6/3,100,14,3,0,4,2,0,1.8
165,94042,3128,1770,1788,12.3,1765,4669,4825,4384,73.9,105,6/1,100,6,1,5,5,5,6,4.4
166,94052,3258,1892,1949,14.1,1852,4901,4812,5030,74.9,90,6/2,100,19,5,4,4,4,4,4.2
167,96153,3378,1644,1665,14.6,1601,4237,4422,4307,76.5,85,6/1,95,7,5,6,5,4,5,5
168,94058,3412,2038,2068,12.8,2022,5349,4994,5736,77.9,100,6/2,100,10,2,1,0,2,0,1
169,96030,3069,1757,1784,14.1,1720,4551,4713,4367,74.7,80,6/2,100,9,5,3,7,4,6,5
170,94042,3319,2150,2159,12.6,2137,5655,5121,6207,75,100,6/1,100,3,6,8,7,7,7,7
171,96153,3148,1750,1777,12.2,1747,4621,4888,4091,75.4,95,5/30,100,9,6,7,6,5,1,5
172,94052,3113,1798,1831,13.8,1766,4672,4508,5229,75,90,6/3,100,11,4,4,6,3,4,4.2
173,96052,3298,1790,1829,14.6,1743,4613,4813,4266,77.4,85,6/3,100,13,0,5,0,4,3,2.4
174,94046,3265,1931,1955,14.3,1887,4992,5006,4758,75,95,6/1,100,8,3,1,5,7,5,4.2
175,94052,3279,1593,1629,14.9,1547,4093,4815,2886,76.5,80,6/3,100,12,2,4,1,5,0,2.4
176,94046,3416,1897,1933,12.3,1891,5004,5148,4415,77.1,95,6/3,100,12,3,4,4,3,4,3.6
177,94081,3127,2153,2156,12.7,2138,5657,4966,6623,75.9,103,6/2,100,1,4,5,5,5,4,4.6
178,94081,3199,1911,1914,13.8,1877,4965,4558,5873,75.1,85,6/1,100,1,1,5,1,5,4,3.2
179,94064,3418,2188,2194,12.9,2168,5737,5088,6513,78.4,95,6/2,100,2,3,3,5,4,4,3.8
180,94070,3252,1817,1850,13.3,1793,4745,4932,4302,74.4,80,6/3,100,11,5,5,5,5,6,5.2
181,94070,3211,1974,2199,13.5,1944,5145,5049,5050,75.3,90,6/5,100,75,4,3,3,1,5,3.2
