Source,Entry,PLOT,Harv,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn,AdjPHS,
144,96052,3004,14,2,0,1,0,0,0.6,0.64,
Richland,Richland,3005,14,2,1,4,0,0,1.4,1.44,
364,99029,3006,14,1,1,1,1,0,0.8,0.84,
241,99027,3007,14,3,1,0,0,1,1,1.04,
113,96052,3008,14,0,0,0,0,0,0,0.04,
192,94070,3009,14,4,5,5,5,2,4.2,4.24,
366,99042,3010,14,0,0,2,3,1,1.2,1.24,
302,96009,3011,14,0,2,0,0,1,0.6,0.64,
213,99060,3012,14,0,4,2,0,1,1.4,1.44,
121,94025,3013,14,1,4,2,2,2,2.2,2.24,
147,94058,3014,14,1,2,4,4,2,2.6,2.64,
89,94025,3015,14,0,4,3,3,3,2.6,2.64,
296,88044,3016,14,1,2,1,2,0,1.2,1.24,
Superior,Superior,3017,14,0,4,2,1,4,2.2,2.24,
46,94032,3018,14,3,3,4,4,4,3.6,3.64,
357,99023,3019,14,3,2,0,1,2,1.6,1.64,
65,94052,3021,14,1,2,2,2,1,1.6,1.64,
270,Cal 4PHS-10,3022,14,0,1,1,2,4,1.6,1.64,
Jensen,Jensen,3023,14,1,1,1,0,0,0.6,0.64,
157,94052,3025,14,1,4,2,3,1,2.2,2.24,
315,96025,3026,14,3,2,3,0,2,2,2.04,
NY 7708,NY 7708,3027,14,1,0,0,0,1,0.4,0.44,
344,97067,3028,14,0,0,1,0,1,0.4,0.44,
278,NYW103-70-9232,3031,14,2,4,2,2,1,2.2,2.24,
152,94064,3033,14,2,2,3,2,2,2.2,2.24,
8,Jones Fife,3034,14,1,0,0,0,0,0.2,0.24,
86,W105-97,3035,14,3,3,4,4,3,3.4,3.44,
6,Golden,3036,14,0,1,0,0,0,0.2,0.24,
9,Longberry#1,3038,14,3,4,0,0,1,1.6,1.64,
Cal Res L,Cal Res L,3040,14,5,4,5,4,4,4.4,4.44,
276,NY103-72-7179,3043,14,4,4,4,4,2,3.6,3.64,
60,W105-149,3045,14,1,4,1,1,1,1.6,1.64,
58,94046,3047,14,2,2,0,0,1,1,1.04,
264,NY88046-7088,3049,14,2,0,0,3,3,1.6,1.64,
155,94025,3050,14,4,1,2,2,3,2.4,2.44,
188,96056,3051,14,0,2,5,4,3,2.8,2.84,
Caledonia,Caledonia,3052,14,3,5,2,3,4,3.4,3.44,
333,96192,3053,14,3,3,4,4,3,3.4,3.44,
295,E1009,3055,14,2,1,2,1,2,1.6,1.64,
210,94042,3056,14,4,3,1,4,2,2.8,2.84,
141,94052,3059,14,3,0,3,2,5,2.6,2.64,
Richland,Richland,3062,14,4,2,3,0,0,1.8,1.84,
101,94025,3063,14,3,4,4,1,3,3,3.04,
50,94052,3065,14,0,2,1,1,1,1,1.04,
45,94081,3067,14,0,0,0,0,0,0,0.04,
38,94032,3068,14,3,0,2,2,1,1.6,1.64,
80,94032,3069,14,2,0,0,0,3,1,1.04,
71,W105-57,3070,14,0,0,0,1,2,0.6,0.64,
Cal Res L,Cal Res L,3073,14,3,3,4,5,5,4,4.04,
62,W105-63,3075,14,1,2,3,4,3,2.6,2.64,
229,99029,3076,14,4,1,3,3,3,2.8,2.84,
171,96153,3077,14,3,4,5,5,3,4,4.04,
183,94025,3080,14,3,4,1,4,1,2.6,2.64,
288,Pioneer 25W36,3084,14,4,3,3,5,3,3.6,3.64,
200,94025,3088,14,1,0,0,0,2,0.6,0.64,
102,96049,3089,14,2,0,4,3,3,2.4,2.44,
135,94058,3090,14,0,4,1,2,4,2.2,2.24,
NY 7708,NY 7708,3091,14,0,0,0,1,0,0.2,0.24,
194,94032,3092,14,4,4,1,0,4,2.6,2.64,
369,99046,3093,14,0,0,1,2,0,0.6,0.64,
231,99059,3094,14,1,2,0,3,4,2,2.04,
376,99059,3095,14,0,1,0,0,0,0.2,0.24,
381,99066,3096,14,4,4,1,0,5,2.8,2.84,
371,99052,3097,14,1,2,2,3,5,2.6,2.64,
320,96034,3098,14,0,2,4,0,2,1.6,1.64,
Superior,Superior,3099,14,2,2,4,5,5,3.6,3.64,
166,94052,3100,14,1,2,3,2,3,2.2,2.24,
190,94024,3101,14,0,0,1,0,1,0.4,0.44,
291,Ashley,3102,14,0,4,1,3,3,2.2,2.24,
281,NYW103-226-9195,3104,14,0,0,0,2,0,0.4,0.44,
NY 7708,NY 7708,3105,14,0,5,2,0,4,2.2,2.24,
359,99026,3106,14,0,2,3,0,0,1,1.04,
3,Fulcaster4862,3107,14,0,0,0,0,0,0,0.04,
115,96017,3108,14,1,0,1,0,0,0.4,0.44,
252,97083,3109,14,4,4,3,4,3,3.6,3.64,
73,W105-159,3110,14,1,0,0,0,0,0.2,0.24,
47,94032,3111,14,0,0,1,4,5,2,2.04,
207,94052,3112,14,4,3,3,0,0,2,2.04,
217,99048,3113,14,4,4,4,4,2,3.6,3.64,
Richland,Richland,3114,14,4,3,2,4,2,3,3.04,
122,96056,3115,14,0,3,2,3,2,2,2.04,
247,96007,3116,14,1,3,3,3,2,2.4,2.44,
Richland,Richland,3117,14,2,1,3,4,0,2,2.04,
81,93308,3119,14,3,0,3,1,4,2.2,2.24,
105,94025,3120,14,5,1,2,5,1,2.8,2.84,
204,96002,3121,14,4,1,1,0,2,1.6,1.64,
340,96195,3122,14,2,4,4,1,2,2.6,2.64,
Cal Res L,Cal Res L,3124,14,3,4,3,3,3,3.2,3.24,
196,96047,3125,14,1,1,3,0,0,1,1.04,
248,99069,3127,14,0,2,0,1,2,1,1.04,
321,96034,3128,14,0,1,3,1,0,1,1.04,
64,W105-129,3129,14,3,0,4,4,3,2.8,2.84,
Jensen,Jensen,3130,14,0,0,0,0,0,0,0.04,
143,96009,3131,14,0,0,1,3,5,1.8,1.84,
222,99025,3133,14,3,0,1,1,0,1,1.04,
116,94025,3134,14,2,0,1,0,0,0.6,0.64,
37,Cayuga,3135,14,0,0,0,1,0,0.2,0.24,
44,W105-82,3136,14,2,3,0,0,1,1.2,1.24,
109,96002,3138,14,3,3,1,0,1,1.6,1.64,
NY 7708,NY 7708,3139,14,1,0,0,1,0,0.4,0.44,
95,94052,3140,14,1,5,3,1,0,2,2.04,
251,99069,3141,14,0,1,2,0,0,0.6,0.64,
256,99026,3142,14,1,0,0,3,1,1,1.04,
74,W105-79,3144,14,1,0,0,0,0,0.2,0.24,
383,99068,3146,14,1,0,0,0,0,0.2,0.24,
351,99010,3147,14,4,1,1,0,0,1.2,1.24,
309,96021,3148,14,1,0,0,0,1,0.4,0.44,
98,94052,3149,14,3,0,1,1,1,1.2,1.24,
172,94052,3150,14,0,0,0,0,1,0.2,0.24,
308,96021,3151,14,0,0,3,2,0,1,1.04,
Superior,Superior,3152,14,4,3,3,2,3,3,3.04,
396,NY03143,3153,14,0,0,0,0,0,0,0.04,
382,99066,3154,14,2,3,0,0,1,1.2,1.24,
218,99045,3156,14,0,1,3,2,2,1.6,1.64,
Caledonia,Caledonia,3157,14,4,1,3,3,2,2.6,2.64,
199,96152,3158,14,0,1,1,0,0,0.4,0.44,
