Source,Entry,PLOT,KC,PlotYield,TW,Moisture,YldCorKgH,Lodging,Ht,HD,WH,Other
380,99066,3001,,2077,74.6,13.2,5430,1,105,1-Jun,95,
OH751,OH751,3002,R,2219,75.8,13.6,5778,1,100,31-May,,
704,7388xD8006 - 49,3003,,1908,75.3,13.9,4953,0,102,1-Jun,,
789,NY05072-8-3-3,3004,,1894,72.7,13.5,4936,0,100,3-Jun,,
485,FS_300,3005,R,2048,79.8,13,5365,0,90,29-May,,
440,IL04-8445,3006,R,2308,80.7,13.5,6015,0,90,30-May,,
529,NY03015-203,3007,,1735,75,13.9,4504,0,92,2-Jun,95,
623,T170,3008,R,1661,75.8,12.7,4364,0,87,31-May,,
593,NY05143-2-397,3009,,1739,74.1,12.8,4565,0,96,30-May,95,
487,FS_652,3010,R,1862,76.1,12.6,4897,1,83,1-Jun,,
585,NY01005-356,3011,,1685,76.9,13.2,4405,0,96,2-Jun,,
413,NY07023-150,3012,,1711,75.9,13,4482,0,100,1-Jun,95,
Cal,Caledonia,3013,,1874,73.2,12.9,4914,0,85,1-Jun,,
547,NY99034-237,3014,,1891,79.6,12.9,4959,0,110,29-May,,
570,NY03015-311,3015,,1802,74.2,12.4,4749,0,87,1-Jun,,
146,96153,3016,,1953,75.9,12.5,5142,0,80,30-May,,
588,NY03015-361,3017,,1672,74.3,12.7,4393,0,87,2-Jun,,
405,NY07014-141,3018,,2009,77.7,12.9,5268,0,100,1-Jun,,
112,94061,3019,,2129,75.9,13,5577,0,87,2-Jun,,
535,NY01008-218,3020,,2212,77.1,12.7,5812,1,96,1-Jun,,
Rich,Richland,3021,,1946,76.8,13.2,5087,0,100,1-Jun,,
579,NY99028-334,3022,,1737,72.1,12.9,4555,0,87,3-Jun,,
288,Pioneer_25W36,3023,,2364,78,12.7,6211,0,92,1-Jun,,
672,8080x7388 - 130,3024,,1342,73.4,12.4,3537,0,90,5-Jun,,
412,NY07022-149,3025,,2129,76.8,13.6,5543,0,110,5-Jun,,
763,NY07105-83,3026,,1890,78,12.8,4961,1,97,2-Jun,,Silt washed on plot
506,NY03110-1-2-5-6-142,3027,,1727,79,12.7,4538,0,90,30-May,95,Silt washed on plot
7088,NY7088,3028,,2126,76.7,13.1,5564,1,107,2-Jun,,Silt washed on plot
516,NY03015-165,3029,,1681,75.8,13.4,4386,0,89,2-Jun,95,
392,NY03086,3030,,1864,76.7,13.5,4858,0,91,2-Jun,95,
318,96028,3031,,1903,75.4,13,4985,0,97,3-Jun,90,
668,93307,3032,,1774,75.3,12.9,4652,0,95,1-Jun,95,
656,NY03143,3033,,1757,75.7,12.7,4616,1,95,30-May,95,
571,NY99069-312,3034,,1747,76.8,12.6,4595,0,86,31-May,,
394,NY03089,3035,,1891,76.7,12.6,4974,0,85,1-Jun,,
536,NY99069-222,3036,,1554,75.3,12.2,4104,0,83,1-Jun,,
486,FS_627,3037,R,1848,75,12.5,4865,0,82,30-May,,
598,8080xCal-225-437,3038,,1434,76.2,12.9,3760,1,105,30-May,,
775,07063-1-51,3039,,1645,74.9,13,4309,0,85,2-Jun,,
443,OH04-268-39,3040,R,2211,76.2,12.8,5804,1,91,1-Jun,,
742,NY07106-140,3041,R,1751,77.2,13.4,4568,1,100,1-Jun,,
549,99068-248,3042,,1988,76.3,13.3,5192,0,91,1-Jun,,
420,MSU_Line_E5024,3043,,2012,77.9,13.2,5260,0,81,1-Jun,,
479,Pioneer_25R47,3044,R,2133,75.5,13.1,5582,0,85,30-May,,
138,96049,3045,,1908,76.3,13.2,4988,0,100,2-Jun,,
466,VA05W-151,3046,R,2331,81.3,13.1,6100,1,85,30-May,95,
266,PioneerVar25W41,3047,,1936,76.6,13.9,5025,0,83,30-May,,
482,RO65,3048,R,1829,78,12.7,4806,0,80,30-May,95,
468,VA05W-258,3049,R,1612,75.7,13.2,4214,0,83,1-Jun,95,
Jen,Jensen,3050,,1605,74.8,13.5,4183,0,90,1-Jun,,
510,NY03093&94-150,3051,,1895,75.9,13.3,4949,0,106,1-Jun,,
275,NY103.208.7263,3052,,1636,77,13.1,4281,1,96,2-Jun,,
596,8080x7388-76-417,3053,,1252,77.8,13.6,3260,0,87,1-Jun,,
518,NY03182&183-174,3054,,1704,74.6,13.1,4459,0,86,30-May,,
766,NY07106-135,3055,,1722,77.4,13.4,4493,1,100,1-Jun,,
274,NY03180FHB.10,3056,,1613,71.7,13.3,4213,0,87,1-Jun,,
452,M05*1589,3057,R,2084,77.9,13.3,5443,0,85,31-May,,
191,94070,3058,,1757,73.6,13.3,4589,0,87,2-Jun,95,
410,NY07020-147,3059,,1931,74.4,13.3,5043,0,86,30-May,95,
418,MSU_Line_E5011A,3060,,1857,73.2,14,4815,0,80,1-Jun,95,
492,NY01067-113,3061,,1918,77.4,14.1,4968,0,86,2-Jun,95,
577,NY99069-326,3062,,1940,74.7,14,5031,0,86,1-Jun,,
524,NY03102-3-4-192,3063,,1444,73.6,13.8,3752,0,76,2-Jun,,
OH751,OH751,3064,R,1974,75.8,13.3,5155,0,95,30-May,,
720,NY07105-49,3065,M,1735,76.7,12.9,4549,1,97,1-Jun,,
467,VA05W-168,3066,R,2165,80.5,13.8,5625,0,80,29-May,,
241,99027,3067,,1543,76.3,12.8,4050,0,76,30-May,90,
403,NY07012-139,3068,,1647,73.7,12.8,4323,0,78,2-Jun,95,
712,7388xD8006 - 231,3069,,2086,75.5,12.3,5503,0,88,30-May,,
OH751,OH751,3070,R,2247,76.5,13.1,5880,0,97,30-May,,
517,NY99028-170,3071,,1912,74.8,13.1,5004,0,95,2-Jun,,
600,8080xCal-211-444,3072,,1692,78.2,13,4432,0,110,31-May,,
736,NY07106-167,3073,,1829,78.3,12.7,4806,2,100,2-Jun,,
475,Truman,3074,R,2207,77.1,13.5,5752,1,98,1-Jun,,
753,NY07104-33,3075,,1793,77.4,13.6,4668,1,96,1-Jun,,
159,96047,3076,,1669,75,12.7,4385,0,87,2-Jun,90,
451,M05-1526,3077,R,1931,78.1,12.7,5074,0,87,28-May,,
564,NY01003-287,3078,,1898,75,13.5,4947,0,81,2-Jun,,
Jen,Jensen,3079,,1675,74.1,13.1,4383,0,92,2-Jun,,
713,7388xD8006 - 110,3080,,2143,75.7,13.1,5608,0,97,30-May,95,
770,07057-10-42,3081,,1556,75.9,12.6,4092,1,90,1-Jun,,
Cal,Caledonia,3082,,1970,74,12.4,5192,0,83,1-Jun,,
150,94046,3083,,2179,74.9,12.8,5720,0,100,1-Jun,,
134,96056,3084,,1892,74.1,13.2,4946,1,97,1-Jun,,Silt
590,NY99049-364,3085,,1853,77.6,12.6,4874,0,85,1-Jun,95,
153,94077,3086,,1933,72.4,13.2,5053,0,90,5-Jun,95,
534,NY01005-216,3087,,1874,77.9,13,4909,0,102,1-Jun,,
772,07061-5-75,3088,,1948,76.5,13.1,5098,0,102,2-Jun,,
290,Ava,3089,,2177,76.4,13.3,5685,1,101,2-Jun,,
36,Batavia,3090,,1695,74.2,12.6,4458,0,102,2-Jun,,
393,NY03086,3091,,2021,76.5,12.9,5299,0,100,2-Jun,,
453,B040798,3092,R,2288,77.6,13,5994,0,97,31-May,,
558,NY01066-273,3093,,1822,75.1,12.2,4811,0,90,1-Jun,,
422,MSU_Line_E6048,3094,,1955,77.2,12.7,5137,0,78,1-Jun,,
546,97083-236,3095,,2009,76.9,12.7,5279,0,92,2-Jun,,
Rich,Richland,3096,,2120,76.5,12.8,5565,0,103,1-Jun,,
749,NY07103-109,3097,,1421,75,12.6,3737,0,80,31-May,,
541,NY01002-227,3098,,1606,74.5,13.4,4190,0,77,1-Jun,95,
450,M05-1172,3099,R,2101,75.5,13.3,5487,0,80,31-May,,
249,99059,3100,,2073,76.2,13.3,5414,0,87,1-Jun,,
446,MD01W233-07-1,3101,R,1746,80.6,13,4574,0,76,1-Jun,,
427,TW531-003,3102,,1938,77.8,13.1,5072,0,86,2-Jun,,
207,94052,3103,,1862,74.6,13,4878,0,95,2-Jun,95,
778,NY06073-46,3104,M,1786,76.7,13.2,4669,0,82,30-May,,
