GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
OH26,OH12-262-34,1,3001,2168,77.6,14.85,R,1,1,20,2215,R,W,N,,,29,86,1,0,0,,,
1361,NY11019-11-14-1361,1,3002,1750,78,14.86,R,1,2,21,168,R,,,,,28,78,2,0,2,,,
1291,NY10108-2-24-1291,1,3003,2018,77,14.54,W,1,3,60,2016,W,W,N,,,30,90,1,0,1,,,
866,NY05158-866,1,3004,2116,81.7,13.73,W,1,4,61,2395,W,BR/W,A/N,"10% T, 10%A",,29,80,0,0,0,,,
MSU27,MSU Line F2041,1,3005,1970,74.5,13.53,W,1,5,100,2368,W,W,N,Ht,,1,100,2,0,1,,,
1352,NY11018-02-19-1352,1,3006,2451,78.9,13.96,R,1,6,101,157,R,,,,,27,88,1,0,0,,,
OH17,OH12-208-26,1,3007,2511,79,14.1,R,1,7,140,2286,R,W,N,,,28,78,1,0,0,,,
1332,NY11020-1-45-1332,1,3008,2256,77.4,14.31,R,1,8,141,132,R,,,,,30,88,1,0,0,,,
290,Ava,1,3009,2259,78.9,14.47,W,1,9,180,2032,W,W,N,,,31,90,1,0,0,,,
1338,NY11022-4-10-1338,1,3010,2270,75.9,14.92,R,1,10,181,138,R,,,,,30,84,2,0,0,,,
1194,NY01067-1194,1,3011,2443,79.8,14.87,R,1,11,220,2443,R,W,N,,,31,86,2,0,0,,,
839,NY05158-839,1,3012,2266,81.2,15.03,W,1,12,221,2384,W,BR,N,,,29,80,1,2,0,,,
OH33,OH12-289-4,1,3013,2204,79.8,14.97,R,1,13,260,2438,R,W,A,10% N 10% BR,,26,102,1,3,0,,,
631,MH06*2820,1,3014,2420,78.8,14.96,R,1,14,261,2355,R,W,A,,,29,84,1,0,0,,,
OH70,OH13-174-16,1,3015,2400,77.6,14.77,R,1,15,300,2133,R,W,N,,,30,88,1,0,0,,,
806,NY02008-806,1,3016,2262,76.7,14.96,W,1,16,301,2091,W,W,N,,,2,100,1,0,0,,,
