Source,Entry,CC,AN,PLOT,PlotYield,Moisture,TW,Lodging,HD,Ht,WH,SproutMn,Pedigree,Rogueing
,MUSEUM GROUP,,,,,,,,,,,,,
9001,American Banner,M,N,6001,1383,,,none,,127,100,,Ancestral  variety,
9011,DawsonGoldenChaff,B,N,6002,1414,,,,,125,100,,Ancestral  variety,
9014,Fulcaster4862,W,A,6003,1270,,,,,135,100,,Ancestral  variety,
9009,Genesee Giant,B,A,6004,1355,,,,,115,100,,Ancestral  variety,
9031,Goldcoin,B,N,6005,1451,,,,,120,100,,Ancestral  variety,
9035,Golden,B,N,6006,1317,,,,,112,100,,Ancestral  variety,
9005,Grandprize,M,N,6007,1628,,,,,125,100,,Ancestral  variety,
9019,Jones Fife,W,N,6008,1325,,,,,133,100,,Ancestral  variety,
9025,Longberry#1,M,A,6009,1256,,,,,133,100,,Ancestral  variety,
9004,Martin,W,A,6010,1097,,,,,132,100,,Ancestral  variety,
9012,Pride of Genesee,W,A,6011,1194,,,,,138,100,,Ancestral  variety,
9003,Rural New Yorker,W,A,6012,979,,,,,138,100,,Ancestral  variety,
9006,Vermont Winter Reeds,W,A,6013,1368,,,,,125,100,,Ancestral  variety,
9002,Charcoal Wheat,B,A,6014,1205,,,,,100,100,,Purple kernel germplasm,
9030,Coker9474,W,N,6015,2033,,,,,80,100,,Septoria-R germplasm,
9027,Hyak,W,N,6016,1733,,,,,75,100,,Club wheat,
9028,Malcolm,W,N,6017,2224,,,,,80,100,,PNW Check,
9032,Meridian,W,A,6018,1980,,,,,87,100,,PNW Check,
9024,NY 6432-10,W,N,6019,1853,,,,,92,100,,High Flour yld germplasm,
9043,NY 6432-18,W,N,6020,2243,14.4,74.1,,,100,100,,PHS-R germplasm,
9016,Stephens,W,A,6021,2201,14.5,75.5,,,87,100,,PNW Check,
9007,U1254-4-9-5,B,A,6022,1615,14.5,79,,,80,100,,WSSMV Germplasm,
9020,U1266-4-11-6,W,A,6023,1983,15.1,74.6,,,87,100,,WSSMV Germplasm,
9029,U1273-5-18-8,W,A,6024,2138,14.7,75.7,,,90,100,,WSSMV Germplasm,
9038,Honor,M,N,6025,334,14.7,73.1,,,125,100,,Cornell Variety,
9041,Forward,W,N,6026,1614,14,73.5,,,122,100,,Cornell Variety,
9008,Cornell595,B,N,6027,1321,13.3,71.5,,,130,100,,Cornell Variety,
9010,Yorkwin,W,N,6028,1266,13.7,72,,,137,98,,Cornell Variety,
9033,Valprize,W,N,6029,1381,14.2,70.5,,,132,100,,Cornell Variety,
9036,Genesee,B,A,6030,1543,13.3,71.4,,,122,100,,Cornell Variety,
9022,Avon,B,N,6031,1706,13.9,71.5,,,120,100,,Cornell Variety,
9013,Arrow,B,N,6032,2011,14.4,74.2,,,105,100,,Cornell Variety,
9026,Yorkstar,B,N,6033,1694,14.5,71.8,,,110,100,,Cornell Variety,
9040,Ticonderoga,W,N,6034,1858,14.7,70.4,,,95,100,,Cornell Variety,
9042,Susquehanna,W,N,6035,2208,14.6,73.4,,,93,100,,Cornell Variety,
9018,Houser,W,A,6036,1799,14.1,71.9,,,90,95,,Cornell Variety,
9015,Purcell,B,N,6037,1712,14.5,73,,,90,100,,Cornell Variety,
9021,Geneva,B,N,6038,2101,15.9,73.3,,,90,100,,Cornell Variety,
9023,Richland,B,N,6039,2132,16.1,73.4,,,95,100,,Cornell Variety,
9034,Caledonia,W,N,6040,2317,16.1,70.9,,,83,100,,Cornell Variety,
9037,Batavia,W,N,6041,2069,16,71.3,,,87,100,,Cornell Variety,
9039,Cayuga,W,N,6042,2337,16.5,76.1,,,108,100,,Cornell Variety,
,2005 Group,,,,,,,,,,,,,
9351,94032,W,N,6043,2145,16.2,73.3,,,90,100,4.6,Pio2737w/Geneva(19),37
9342,W105-34,W,N,6044,2138,16.6,74.7,,,110,93,4,Superior x Cayuga DH Population,6
