Source,Entry,PLOT,Sprout Score,,,,,,,Harvested,Other
436,B030543,3004,1000,0,1,0,0,0,0.2,7/2/2010,
468,VA05W-258,3005,31221,3,1,2,2,1,1.8,7/2/2010,
463,Blazer exp.,3009,43043,4,3,0,4,3,2.8,7/2/2010,
457,P05219A1-13-16,3015,33,0,0,0,3,3,1.2,7/2/2010,
483,Pioneer 25R62,3026,44544,4,4,5,4,4,4.2,7/2/2010,
603,OH02-12678,3031,55645,5,5,6,4,5,5,7/2/2010,
472,SW50,3038,51001,5,1,0,0,1,1.4,7/2/2010,
487,FS 652,3042,22412,2,2,4,1,2,2.2,7/2/2010,
471,NC05-21090,3059,3002,3,0,0,2,,1.3,7/2/2010,
467,VA05W-168,3066,4533,0,4,5,3,3,3,7/2/2010,
437,KY97C-0321-02-01,3073,4120,0,4,1,2,0,1.4,7/2/2010,
441,IL04-11003,3074,1001,0,1,0,0,1,0.4,7/2/2010,
440,IL04-8445,3079,10000,1,0,0,0,0,0.2,7/2/2010,
442,OH04-264-58,3084,1002,0,1,0,0,2,0.6,7/2/2010,
452,M05*1589,3089,20103,2,0,1,0,3,1.2,7/2/2010,
486,FS 627,3092,0,0,0,0,0,0,0,7/2/2010,
438,KY97C-0519-04-07,3096,22515,2,2,5,1,5,3,7/2/2010,
455,P99751RA1-6-3-94,3100,40,0,0,0,4,0,0.8,7/2/2010,
479,Pioneer 25R47,3112,40544,4,0,5,4,4,3.4,7/2/2010,
475,Truman,3113,11010,1,1,0,1,0,0.6,7/2/2010,
439,KY97C-0508-01-01A-1,3114,20513,2,0,5,1,3,2.2,7/2/2010,
602,OH02-12686,3117,55450,5,5,4,5,0,3.8,7/2/2010,
473,7730R,3120,10,0,0,0,1,0,0.2,7/2/2010,
446,MD01W233-07-1,3130,110,0,0,1,1,0,0.4,7/2/2010,
448,G89201,3132,31022,3,1,0,2,2,1.6,7/2/2010,
464,Probe exp.,3143,11222,1,1,2,2,2,1.6,7/2/2010,
431,Roane,3148,23041,2,3,0,4,1,2,7/2/2010,
454,M05-1531,3149,44543,4,4,5,4,3,4,7/2/2010,
444,OH05-248-38,3150,55561,5,5,5,6,1,4.4,7/2/2010,
447,G89209,3153,10030,1,0,0,3,0,0.8,7/2/2010,
478,Ruby red (MSU E1007R),3159,21120,2,1,1,2,0,1.2,7/2/2010,
484,Pioneer 25R39,3166,112,0,0,1,1,2,0.8,7/2/2010,
435,IL02-19463,3175,54576,5,4,5,7,6,5.4,7/2/2010,
469,AR98022-19-3,3181,46646,4,6,6,4,6,5.2,7/2/2010,
432,INW0411,3191,101,0,0,1,0,1,0.4,7/2/2010,
488,FS 801,3195,10000,1,0,0,0,0,0.2,7/2/2010,
466,VA05W-151,3202,24144,2,4,1,4,4,3,7/2/2010,
433,Branson,3203,1,0,0,0,0,1,0.2,7/2/2010,
465,Rumor exp.,3204,64326,6,4,3,2,6,4.2,7/2/2010,
459,W06-522A,3224,10,0,0,0,1,0,0.2,7/2/2010,
451,M05-1526,3225,24305,2,4,3,0,5,2.8,7/2/2010,
460,Z03-1281,3240,30231,3,0,2,3,1,1.8,7/2/2010,
474,Bess,3242,10,0,0,0,1,0,0.2,7/2/2010,
482,RO65,3247,10,0,0,0,1,0,0.2,7/2/2010,
461,Z03-0496,3260,14155,1,4,1,5,5,3.2,7/2/2010,
450,M05-1172,3264,54303,5,4,3,0,3,3,7/2/2010,
476,R055,3267,76055,7,6,0,5,5,4.6,7/2/2010,
458,W06-089,3269,0,0,0,0,0,0,0,7/2/2010,
485,FS 300,3279,10005,1,0,0,0,5,1.2,7/2/2010,
456,P02444A1-23-1,3287,64200,6,4,2,0,0,2.4,7/2/2010,
449,G89222,3290,25,0,0,0,2,5,1.4,7/2/2010,
443,OH04-268-39,3294,10301,1,0,3,0,1,1,7/2/2010,
470,AR98023-5-1,3297,2171,0,2,1,7,1,2.2,7/2/2010,
434,LA01*425,3306,2121,0,2,1,2,1,1.2,7/2/2010,
462,GA031238-DH7-7A28,3311,66264,6,6,2,6,4,4.8,7/2/2010,
477,OH751,3312,1,0,0,0,0,1,0.2,7/2/2010,
445,MD00W53-07-1,3318,101,0,0,1,0,1,0.4,7/2/2010,
577,NY99069-326,3001,54525,5,4,5,2,5,4.2,7/2/2010,
420,MSU Line E5024,3002,121,0,0,1,2,1,0.8,7/2/2010,
417,NY07106-167-182,3003,25,0,0,0,2,5,1.4,7/2/2010,
NY,NY7088,3006,1544,0,1,5,4,4,2.8,7/2/2010,
289,W1062,3011,55535,5,5,5,3,5,4.6,7/2/2010,
Rich,Richland,3012,33656,3,3,6,5,6,4.6,7/2/2010,
600,8080xCal-211-444,3013,3350,0,3,3,5,0,2.2,7/2/2010,
601,8080xCal-70-449,3014,30623,3,0,6,2,3,2.8,7/2/2010,
167,96153,3016,3322,0,3,3,2,2,2,7/2/2010,
594,NY05161-5-407,3019,3641,0,3,6,4,1,2.8,7/2/2010,
235,99021,3027,45313,4,5,3,1,3,3.2,7/2/2010,
317,96025,3028,35236,3,5,2,3,6,3.8,7/2/2010,
NY,NY7088,3030,42001,4,2,0,0,1,1.4,7/2/2010,
401,NY07010-137,3032,65776,6,5,7,7,6,6.2,7/2/2010,
81,93308,3033,24565,2,4,5,6,5,4.4,7/2/2010,
Jen,Jensen,3034,15333,1,5,3,3,3,3,7/2/2010,
519,NY003097&98-177,3036,53323,5,3,3,2,3,3.2,7/2/2010,
80,94032,3047,30152,3,0,1,5,2,2.2,7/2/2010,
596,8080x7388-76-417,3048,505,0,0,5,0,5,2,7/2/2010,
320,96034,3049,51573,5,1,5,7,3,4.2,7/2/2010,
556,NY01003-268,3050,14366,1,4,3,6,6,4,7/2/2010,
409,NY07018-145,3051,15230,1,5,2,3,0,2.2,7/2/2010,
521,NY03082-183,3052,4454-,4,4,5,4,-,4.3,7/2/2010,
416,NY07105-45-153,3055,2100,0,2,1,0,0,0.6,7/2/2010,
508,NY99049-144,3056,87789,8,7,7,8,9,7.8,7/2/2010,
590,NY99049-364,3058,55564,5,5,5,6,4,5,7/2/2010,
Jen,Jensen,3060,43666,4,3,6,6,6,5,7/2/2010,
382,99066,3063,18265,1,8,2,6,5,4.4,7/2/2010,
NY,NY7088,3064,2150,0,2,1,5,0,1.6,7/2/2010,
