GID,PLOT,SORT,Entry,Harvest,Mist,Score,Comment,PHS,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn,KC2014
MSU64,1003,,MI14W0728,7/8/2015,7/13/2015,7/17/2015,,68572,6,8,5,7,2,5.6,
1197,1005,,NY02003-1197,7/8/2015,7/13/2015,7/17/2015,,77766,7,7,7,6,6,6.6,
611,1006,,SE00 10277-12-611,7/8/2015,7/13/2015,7/17/2015,,65766,6,5,7,6,6,6.0,
1180,1008,,NY00020-1180,7/8/2015,7/13/2015,7/17/2015,red?,00200,0,0,2,0,0,0.4,
1168,1010,,NY99045-1168,7/8/2015,7/13/2015,7/17/2015,,53412,5,3,4,1,2,3.0,
910,1011,,NY09091-38-910,7/8/2015,7/13/2015,7/17/2015,,54543,5,4,5,4,3,4.2,
950,1033,,NY09098-43-950,7/8/2015,7/13/2015,7/17/2015,,22112,2,2,1,1,2,1.6,
MSU63,1036,,MI14W0723,7/8/2015,7/13/2015,7/17/2015,,77726,7,7,7,2,6,5.8,
716_check,1038,,NY01016-AN-716,7/8/2015,7/13/2015,7/17/2015,,42312,4,2,3,1,2,2.4,
MSU13,1040,,MSU Line F2012,7/8/2015,7/13/2015,7/17/2015,,54616,5,4,6,1,6,4.4,
1304,1041,,NY10126-3-70-1304,7/8/2015,7/13/2015,7/17/2015,,11511,1,1,5,1,1,1.8,
835,1046,,NY05158-835,7/8/2015,7/13/2015,7/17/2015,,43651,4,3,6,5,1,3.8,
1164,1048,,NY99034-1164,7/8/2015,7/13/2015,7/17/2015,,32401,3,2,4,0,1,2.0,
264_check,1051,,Medina,7/8/2015,7/13/2015,7/17/2015,,22433,2,2,4,3,3,2.8,
1218,1053,,NY03143-1218,7/8/2015,7/13/2015,7/17/2015,red?,00000,0,0,0,0,0,0.0,
726,1055,,NY07105-64-726,7/8/2015,7/13/2015,7/17/2015,,00000,0,0,0,0,0,0.0,
MSU27,1056,,MSU Line F2041,7/8/2015,7/13/2015,7/17/2015,,34675,3,4,6,7,5,5.0,
926,1062,,NY09095-14-926,7/8/2015,7/13/2015,7/17/2015,,03123,0,3,1,2,3,1.8,
731,1063,,NY07106-91-731,7/8/2015,7/13/2015,7/17/2015,,01002,0,1,0,0,2,0.6,
716,1064,,NY01016-AN-716,7/8/2015,7/13/2015,7/17/2015,,45504,4,5,5,0,4,3.6,
1264,1065,,NY10086-6-13-1264,7/8/2015,7/13/2015,7/17/2015,,04133,0,4,1,3,3,2.2,
918,1066,,NY09091-83-918,7/8/2015,7/13/2015,7/17/2015,,52325,5,2,3,2,5,3.4,
MSU12,1067,,MSU Line F2010,7/8/2015,7/13/2015,7/17/2015,,38435,3,8,4,3,5,4.6,
821,1069,,NY05152-821,7/8/2015,7/13/2015,7/17/2015,,11130,1,1,1,3,0,1.2,
1166,1070,,NY99045-1166,7/8/2015,7/13/2015,7/17/2015,,32534,3,2,5,3,4,3.4,
1227,1072,,NY03076-1227,7/8/2015,7/13/2015,7/17/2015,,01011,0,1,0,1,1,0.6,
822,1074,,NY05152-822,7/8/2015,7/13/2015,7/17/2015,,11220,1,1,2,2,0,1.2,
MSU26,1076,,MSU Line F2039,7/8/2015,7/13/2015,7/17/2015,,81252,8,1,2,5,2,3.6,
MSU40,1077,,MI14W0405,7/8/2015,7/13/2015,7/17/2015,,76587,7,6,5,8,7,6.6,
35_check,1079,,Caledonia,7/8/2015,7/13/2015,7/17/2015,,74677,7,4,6,7,7,6.2,
405,1081,,NY07014-405,7/8/2015,7/13/2015,7/17/2015,,40551,4,0,5,5,1,3.0,
734,1083,,NY07105-79-734,7/8/2015,7/13/2015,7/17/2015,,00030,0,0,0,3,0,0.6,
716_check,1087,,NY01016-AN-716,7/8/2015,7/13/2015,7/17/2015,,11403,1,1,4,0,3,1.8,
1217,1088,,NY03100-1217,7/8/2015,7/13/2015,7/17/2015,,53545,5,3,5,4,5,4.4,
1073,1091,,Caledonia Reselect-L-R-1073,7/8/2015,7/13/2015,7/17/2015,,00010,0,0,0,1,0,0.2,
288,1092,,Pioneer 25W36,7/8/2015,7/13/2015,7/17/2015,,14211,1,4,2,1,1,1.8,
876,1094,,NY07078-876,7/8/2015,7/13/2015,7/17/2015,,00112,0,0,1,1,2,0.8,
727,1095,,NY07105-76-727,7/8/2015,7/13/2015,7/17/2015,,00000,0,0,0,0,0,0.0,
1026,1096,,NY09121-8-1026,7/8/2015,7/13/2015,7/17/2015,,11050,1,1,0,5,0,1.4,
678,1098,,NY8080xCal - 56-678,7/8/2015,7/13/2015,7/17/2015,,88450,8,8,4,5,0,5.0,
879,1099,,NY07085-879,7/8/2015,7/13/2015,7/17/2015,,01001,0,1,0,0,1,0.4,
870,1100,,NY05158-870,7/8/2015,7/13/2015,7/17/2015,,20161,2,0,1,6,1,2.0,
1305,1103,,NY10127-10-04-1305,7/8/2015,7/13/2015,7/17/2015,,23000,2,3,0,0,0,1.0,
708,1107,,NY7388xD8006 - 124-708,7/8/2015,7/13/2015,7/17/2015,,10002,1,0,0,0,2,0.6,
1000,1109,,NY09112-7-1000,7/8/2015,7/13/2015,7/17/2015,,22431,2,2,4,3,1,2.4,
976,1110,,NY09104-2-976,7/8/2015,7/13/2015,7/17/2015,,11102,1,1,1,0,2,1.0,
1167,1111,,NY99045-1167,7/8/2015,7/13/2015,7/17/2015,,25454,2,5,4,5,4,4.0,
684,1112,,NYWhatford/7388 - 65-684,7/8/2015,7/13/2015,7/17/2015,,00100,0,0,1,0,0,0.2,
35_check,1118,,Caledonia,7/8/2015,7/13/2015,7/17/2015,,27643,2,7,6,4,3,4.4,
637,1119,,P05251A1-1-77-637,7/8/2015,7/13/2015,7/17/2015,,00000,0,0,0,0,0,0.0,
1189,1121,,NY01020-1189,7/8/2015,7/13/2015,7/17/2015,,42311,4,2,3,1,1,2.2,
670,1125,,NY8080x7388 - 65-670,7/8/2015,7/13/2015,7/17/2015,,05510,0,5,5,1,0,2.2,
MSU24,1128,,MSU Line F2035,7/8/2015,7/13/2015,7/17/2015,,76576,7,6,5,7,6,6.2,
MSU11,1130,,MSU Line F2008,7/8/2015,7/13/2015,7/17/2015,,55553,5,5,5,5,3,4.6,
MSU4,1131,,MSU Line F1029,7/8/2015,7/13/2015,7/17/2015,,17156,1,7,1,5,6,4.0,
264_check,1134,,Medina,7/8/2015,7/13/2015,7/17/2015,,11320,1,1,3,2,0,1.4,
264,1135,,Medina,7/8/2015,7/13/2015,7/17/2015,,41341,4,1,3,4,1,2.6,
268,1136,,E0028,7/8/2015,7/13/2015,7/17/2015,,67676,6,7,6,7,6,6.4,
1245,1139,,NY04006-1245,7/8/2015,7/13/2015,7/17/2015,,10000,1,0,0,0,0,0.2,
716_check,1140,,NY01016-AN-716,7/8/2015,7/13/2015,7/17/2015,,10132,1,0,1,3,2,1.4,
MSU46,1144,,MI14W0579,7/8/2015,7/13/2015,7/17/2015,,77289,7,7,2,8,9,6.6,
749,1145,,NY07103-109-749,7/8/2015,7/13/2015,7/17/2015,,20015,2,0,0,1,5,1.6,
893,1148,,NY07101-893,7/8/2015,7/13/2015,7/17/2015,,00060,0,0,0,6,0,1.2,
MSU67,1150,,MI14W0737,7/8/2015,7/13/2015,7/17/2015,,78675,7,8,6,7,5,6.6,
700,1154,,NY7388xD8006 - 150-700,7/8/2015,7/13/2015,7/17/2015,,34051,3,4,0,5,1,2.6,
35_check,1155,,Caledonia,7/8/2015,7/13/2015,7/17/2015,,56765,5,6,7,6,5,5.8,
1232,1156,,NY04033-1232,7/8/2015,7/13/2015,7/17/2015,,11762,1,1,7,6,2,3.4,
880,1157,,NY07088-880,7/8/2015,7/13/2015,7/17/2015,,23100,2,3,1,0,0,1.2,
264_check,1158,,Medina,7/8/2015,7/13/2015,7/17/2015,,12102,1,2,1,0,2,1.2,
1266,1159,,NY10086-6-27-1266,7/8/2015,7/13/2015,7/17/2015,,57304,5,7,3,0,4,3.8,
683,1160,,NYWhatford/7388 - 136-683,7/8/2015,7/13/2015,7/17/2015,,66642,6,6,6,4,2,4.8,
675,1162,,NY8080xCal - 127-675,7/8/2015,7/13/2015,7/17/2015,,56503,5,6,5,0,3,3.8,
1192,1163,,NY01066-1192,7/8/2015,7/13/2015,7/17/2015,,60010,6,0,0,1,0,1.4,
1024,1168,,NY09119-9-1024,7/8/2015,7/13/2015,7/17/2015,,13021,1,3,0,2,1,1.4,
1184,1171,,NY01003-1184,7/8/2015,7/13/2015,7/17/2015,,10302,1,0,3,0,2,1.2,
1287,1174,,NY10102-1-78-1287,7/8/2015,7/13/2015,7/17/2015,,15132,1,5,1,3,2,2.4,
1267,1175,,NY10086-6-33-1267,7/8/2015,7/13/2015,7/17/2015,,21434,2,1,4,3,4,2.8,
610,1177,,SE00 10303-35,7/8/2015,7/13/2015,7/17/2015,,04310,0,4,3,1,0,1.6,
MSU44,1180,,MI14W0529,7/8/2015,7/13/2015,7/17/2015,,12153,1,2,1,5,3,2.4,
825,1184,,NY05152-825,7/8/2015,7/13/2015,7/17/2015,,10010,1,0,0,1,0,0.4,
716_check,1185,,NY01016-AN-716,7/8/2015,7/13/2015,7/17/2015,,11412,1,1,4,1,2,1.8,
736,1196,,NY07106-167-736,7/8/2015,7/13/2015,7/17/2015,,02010,0,2,0,1,0,0.6,
716_check,1198,,NY01016-AN-716,7/8/2015,7/13/2015,7/17/2015,,12431,1,2,4,3,1,2.2,
855,1199,,NY05158-855,7/8/2015,7/13/2015,7/17/2015,,20001,2,0,0,0,1,0.6,
656,1201,,NY03143-656,7/8/2015,7/13/2015,7/17/2015,,13141,1,3,1,4,1,2.0,
264_check,1205,,Medina,7/8/2015,7/13/2015,7/17/2015,,42202,4,2,2,0,2,2.0,
1303,1208,,NY10126-3-39-1303,7/8/2015,7/13/2015,7/17/2015,,11100,1,1,1,0,0,0.6,
MSU54,1209,,MI14W0696,7/8/2015,7/13/2015,7/17/2015,,42375,4,2,3,7,5,4.2,
1196,1211,,NY02002-1196,7/8/2015,7/13/2015,7/17/2015,,56560,5,6,5,6,0,4.4,
MSU17,1213,,MSU Line F2020,7/8/2015,7/13/2015,7/17/2015,,88775,8,8,7,7,5,7.0,
1005,1216,,NY09113-7-1005,7/8/2015,7/13/2015,7/17/2015,,15110,1,5,1,1,0,1.6,
