Source,Entry,PLOT,KC,PlotYield,TW,Moisture,HD,Mildew,Lodging,Ht,WH,PHS,PHS Harv,Pedigree
31,Houser,1170,w,2416,75.6,11.4,23,2,0,105,100,3.8,7/2,
33,Geneva,1082,w,2186,77.3,11,22,2,0,105,100,3,7/2,
37,Cayuga,1303,w,1893,78.4,11.7,23,3,0,120,100,2.8,6/29,
57,SUPERIOR,1252,w,2291,76.6,11.3,23,2,0,110,95,2.4,7/2,
117,NY94063-117,1163,w,2428,75.9,11,23,0,2,100,100,3.6,6/29,
136,NY94025-136,1031,w,2082,74.4,10.2,23,2,0,90,100,4.2,6/29,
138,NY96049-138,1116,w,2385,76.9,11.3,25,0,0,110,100,3.8,7/2,
146,NY96153146,1308,w,2077,76,11.5,22,2,0,90,100,5,6/29,
150,NY94046-150,1113,w,2204,75.1,11.2,23,3,1,102,90,3.6,7/2,
159,NY96047-159,1295,w,2276,75.8,10.9,24,3,0,100,95,4,6/29,
167,NY96153167,1052,w,2293,78.4,11.4,23,0,0,90,95,3.8,6/29,
174,NY94046-174,1145,w,2562,75.3,11.3,22,2,0,105,100,3,7/2,
201,NY94052-3329,1097,w,2608,77.2,11.8,25,2,0,95,100,1.8,7/2,
207,NY94052-207,1276,w,2302,75.6,11.4,23,2,1,100,95,2.8,7/2,
218,NY99045-3110,1012,w,2226,74.7,11.1,26,4,3,105,95,3.6,7/2,
249,NY99059-249,1046,w,2487,76.1,11.6,23,3,0,90,95,4.2,6/29,
252,NY97083-252,1269,w,2105,74,10.8,26,3,0,105,100,4,7/2,
263,CaledoniaResel.L,1016,w,2184,74.7,11.8,22,3,4,100,95,3.8,6/29,
266,PioneerVar25W41,1255,w,2254,76.3,11.1,21,2,0,95,100,0.8,7/2,
268,E0028,1263,w,2362,75.6,11.1,22,1,0,95,95,4.8,6/29,
287,Pioneer_25W43,1069,w,2222,76.3,11.2,21,2,0,90,100,4.2,6/29,
288,Pioneer_25W36,1256,w,2657,76.8,10.5,21,2,1,95,100,3.8,6/29,
289,W1062,1006,w,2233,76,11.2,24,3,2,95,100,2.6,7/2,
290,Ava,1115,w,2364,76.8,11.5,25,2,1,103,100,4,7/2,
318,NY96028-318,1205,w,2380,76.4,11,26,2,0,102,100,2.4,7/2,
380,NY99066-3025,1262,w,2323,76.1,11.4,23,2,0,105,100,0.4,7/2,
381,NY99066-3444,1100,w,2445,76.4,10.9,25,2,1,100,100,3,7/2,
383,NY99068-383,1206,w,2280,76.2,11.5,25,4,0,100,100,1,7/2,
393,NY03086,1245,w,2208,75.3,11.4,25,3,0,100,95,4,7/2,
394,NY03089,1019,w,2116,75.7,11,21,3,4,90,100,4.6,6/29,
405,NY07014-141,1008,w,1989,76.2,11.1,25,0,0,100,95,2,7/2,
410,NY07020-147,1182,w,2642,75.2,11.6,21,4,0,95,100,4.6,6/29,
412,NY07022-149,1095,w,2311,75.8,10.8,28,0,0,120,100,2.6,7/2,
413,NY07023-150,1108,w,2357,77.7,11.4,23,0,0,102,100,3.8,7/2,
421,MSU Line E5038,1169,w,2422,76.9,11.3,23,0,0,90,100,3.8,7/2,
422,MSU Line E6048,1302,w,2121,74.5,11.5,22,1,0,80,95,5.4,6/29,
427,TW531-003,1187,w,2373,76,10.7,25,0,0,92,100,4,7/2,
428,TW528-001,1081,w,1913,73.7,11.1,25,2,1,105,100,3.8,7/2,
431,Roane,1022,r,2265,78.3,11.4,21,2,4,85,100,0.6,6/29,
433,Branson,1080,r,2184,73,11.7,20,1,0,75,90,1.8,6/29,Pio2737W/891-4584A (Pike/FL302)  (formerly M00-3701)
433,Branson,1088,r,2728,75.6,11.2,20,2,1,85,100,0.2,6/29,Pio2737W/891-4584A (Pike/FL302)  (formerly M00-3701)
434,LA01*425,1234,r,2231,77,11.8,20,0,1,90,100,0.4,6/29,
436,B030543,1171,r,2549,78.7,11.6,21,1,0,90,100,0,6/29,
437,KY97C-0321-02-01,1281,r,2918,76.3,11.5,22,0,2,95,100,0.8,6/29,
439,KY97C-0508-01-01A-1,1178,r,2781,77.8,11.6,20,0,0,85,100,0.6,6/29,
440,IL04-8445,1185,r,2543,79.2,11.5,20,2,0,80,100,1,7/2,
442,OH04-264-58,1311,r,2150,73.2,10.8,23,3,0,90,95,0,6/29,
444,OH05-248-38,1203,r,2580,77.3,11.2,20,0,0,85,95,2.6,6/29,
445,MD00W53-07-1,1074,r,2438,78.5,11.3,17,0,1,90,100,2.8,6/29,
447,G89209,1197,r,2321,76.3,10.9,20,5,0,95,100,2,6/29,
448,G89201,1201,r,2054,75.4,11.1,21,5,1,102,100,3.2,6/29,
449,G89222,1208,r,2750,75.5,11.4,21,0,0,88,100,0.4,6/29,
450,M05-1172,1076,r,2528,77.2,11.4,19,3,1,85,100,1.2,7/2,
451,M05-1526,1196,r,2402,77.4,11.3,19,3,2,95,100,1.4,6/29,
452,M05*1589,1193,r,2292,75.5,11,21,3,5,85,95,1.6,6/29,
453,B040798,1280,r,2237,76.7,11.1,22,2,1,100,100,0,6/29,
454,M05-1531,1039,r,2471,76.7,11.1,20,3,1,95,100,0.4,6/29,
455,P99751RA1-6-3-94,1075,r,2389,77.5,11.5,21,1,0,85,100,0.4,6/29,
456,P02444A1-23-1,1305,r,2092,72.8,11.2,19,3,0,90,100,0.8,6/29,
458,W06-089,1200,r,2376,77.7,11.2,22,3,2,107,100,1,7/2,
461,Z03-0496,1296,r,2332,76.5,11.1,18,2,0,90,100,1.8,6/29,
464,Probe_exp.,1195,r,2428,78.3,11.2,22,0,2,88,100,0.4,6/29,
466,VA05W-151,1083,r,2559,79.5,11.8,20,0,1,85,95,0,6/29,
467,VA05W-168,1139,r,2621,81.7,11.7,18,0,3,85,100,0.6,6/29,
468,VA05W-258,1060,r,2502,76.3,11.2,21,0,1,90,100,1.6,6/29,
470,AR98023-5-1,1051,r,2279,76.1,11.8,23,0,0,85,90,0,6/29,
473,7730R,1242,r,2502,79.2,11.4,17,2,1,100,100,0.8,6/29,
474,Bess,1158,r,2478,77.7,11,20,2,0,95,100,0.4,6/29,MO11769/Madison (formerly MO981020)
474,Bess,1257,r,2166,76.7,11.1,21,2,6,95,100,0.2,6/29,MO11769/Madison (formerly MO981020)
476,R055,1239,r,2671,77.5,11.8,22,2,3,95,100,1.4,6/29,
477,OH751,1030,r,2449,77.6,10.9,21,2,4,105,100,0.2,7/2,
479,Pioneer_25R47,1278,r,2380,75.1,11.7,20,4,0,85,100,2.4,6/29,
480,SW80,1318,r,2530,77,10.9,22,3,2,100,100,1.2,7/2,
481,Emmit,1272,r,2110,74.3,11.2,23,3,2,90,100,1.4,6/29,
482,RO65,1297,r,2534,78.4,11.5,20,3,0,90,100,0,6/29,
483,Pioneer_25R62,1223,r,2640,73.4,11.3,21,2,2,90,100,1.8,6/29,
484,Pioneer_25R39,1268,r,2226,74.4,11.5,22,5,0,85,95,0.8,6/29,
485,FS_300,1136,r,2576,78.8,11.6,19,0,1,90,100,0.8,6/29,
488,FS_801,1131,r,2811,76.9,11.2,20,0,0,90,100,0,7/2,
492,NY01067-113,1306,w,1982,78.7,11.4,23,2,5,95,100,2.6,6/29,
496,NY01066-118,1024,w,2188,73.5,11.3,27,2,1,95,90,3.4,7/2,
503,NY99055-135,1084,w,2083,73.1,11.2,24,3,0,95,100,3.4,7/2,
507,NY01009-143,1018,w,1907,73.1,10.9,23,5,6,80,100,3.8,7/2,
510,NY03093&94-150,1135,w,2411,78.8,11,23,0,0,105,100,3.8,7/2,
511,NY03082-156,1107,w,2190,75.9,10.9,21,2,0,85,100,5.6,6/29,
512,NY03010-157,1184,w,2489,76.7,11.2,22,3,0,90,100,3.2,6/29,
515,NY99056-161,1063,w,2373,74.9,11.1,23,1,0,100,100,3.6,7/2,
516,NY03015-165,1225,w,2305,76.1,10.7,25,4,0,105,100,1.4,7/2,
521,NY03082-183,1002,w,1991,72.9,10.1,25,4,4,95,100,2.8,7/2,
527,NY03008-200,1042,w,2592,76.4,11.2,23,0,0,90,95,4.8,6/29,
537,NY03015-223,1142,w,2533,75.7,11.3,23,2,0,100,100,3.6,7/2,
546,97083-236,1021,w,2072,75.2,10.8,25,4,3,95,100,3.6,7/2,
549,99068-248,1117,w,2084,76.8,11.5,23,3,1,103,100,2.8,7/2,
550,NY99069-249,1207,w,2596,76.3,11.7,21,0,0,93,100,5.4,6/29,
561,NY01066-278,1127,w,2417,75.4,11.2,23,0,0,100,100,3.8,7/2,
564,NY01003-287,1089,w,2080,76.2,11.3,26,1,0,85,100,2.6,7/2,
567,NY03100-307,1044,w,2100,75,10.9,25,4,0,100,100,3.6,7/2,
571,NY99069-312,1222,w,2229,77.4,10.7,21,2,2,92,100,2.8,6/29,
577,NY99069-326,1220,w,2693,76.7,11.3,20,3,3,98,100,3.8,6/29,
578,NY99069-328,1141,w,2192,76.6,11.6,21,0,0,92,100,4,7/2,
580,NY03082-336,1287,w,2216,76.1,11.5,26,4,1,95,100,3.4,7/2,
582,NY03015-346,1058,w,2308,77.6,11.7,25,2,0,100,95,3,7/2,
584,NY99069-352,1130,w,2225,73.4,10.7,21,1,0,80,95,4.8,7/2,
591,NY01066-367,1313,w,2270,77.2,10.8,24,2,0,100,100,2.6,6/29,
597,8080x7388-160-419,1209,w,2002,75.1,11.1,23,3,0,97,100,1,6/29,
602,OH02-12686,1176,r,1852,76.6,11.1,23,2,4,93,100,2.4,7/2,
603,OH02-12678,1048,r,2257,75.2,11.3,25,3,1,95,95,3.6,7/2,
609,SE00 10286-7,1271,w,2002,75.9,11.8,17,2,3,110,100,4.2,6/29,
610,SE00 10303-35,1294,w,2721,75.8,11.5,22,2,0,105,100,4.4,6/29,
614,NY05064&66-1,1261,w,2242,77.6,11.3,23,0,0,100,100,4.4,6/29,
616,HY116-SRW,1148,r,2747,77.2,11.7,22,0,2,102,100,1.6,7/2,
617,FSX888,1301,r,2576,77.9,11.9,20,0,0,85,95,0.8,6/29,
618,Shirley,1304,r,2725,75.5,11.5,22,0,0,80,100,0.8,6/29,
619,Taboo exp.,1014,r,2131,77,11.5,21,3,2,95,100,1.2,6/29,
620,W06*646,1010,r,2372,76.7,11.2,19,0,0,85,95,0,6/29,
625,MO 080104,1133,r,2970,79.9,11.7,19,1,0,97,100,0,6/29,L910097/MO 92-599
626,Z03-3352,1218,r,2372,74.7,11.2,21,2,0,90,95,2.4,6/29,
627,XY04-37,1154,r,2525,76.2,11,20,0,0,85,100,0.4,6/29,
628,OH05-200-74,1246,r,2545,75.7,11.5,21,1,0,100,100,4.4,7/2,
629,ML06-2097,1164,r,2807,77.9,11.2,22,1,0,90,100,0.4,7/2,
630,03M1539#019,1140,r,2518,77.5,11.7,20,1,0,85,100,0,6/29,
631,MH06*2820,1132,r,2803,78.1,11.4,20,0,0,92,100,1.2,6/29,
632,GA011174-8A9,1050,r,2520,79,11.5,19,1,0,85,100,0.4,6/29,
633,IL05-4236,1065,r,2630,77.4,11.6,17,0,4,90,100,3.2,6/29,Truman/KY93C-1238-17-1
633,IL05-4236,1241,r,2103,76.6,11.7,16,0,7,95,100,4.2,6/29,Truman/KY93C-1238-17-1
634,G89267,1015,r,2319,75.9,11.1,21,1,5,90,95,0.2,6/29,
635,G89263,1231,r,2461,77.9,11.5,21,0,0,90,100,0,7/2,
636,P05247A1-7-3,1092,r,2382,78,11.1,21,1,0,90,100,1.2,7/2,
639,NC05-19896,1265,r,2371,78.2,11.1,22,0,0,85,100,0.2,6/29,
646,NY03087&88,1053,w,2077,75.1,11.2,23,0,0,80,100,3.6,6/29,
649,NY03087&88,1159,w,2555,78.1,11.6,22,0,0,97,100,5,6/29,
651,NY03087&88,1238,w,2554,77.2,11.5,22,2,0,95,100,3,7/2,
652,NY03092,1105,w,2471,76.1,11,21,0,0,92,100,4,6/29,
