GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
1177,NY99069-1177,1,1001,2603,80.9,13.24,W,1,1,20,2228,W,W,N,,,28,132,0,2,1,,,
1362,NY11019-11-15-1362,1,1002,2955,79.9,13.27,R,1,2,21,169,R,,,,,29,107,1,0,0,,,
1267,NY10086-6-33-1267,1,1003,2793,79.8,13.2,W,1,3,60,2115,W,W/BR,N,,,31,117,1,3,0,,,
1315,NY11014-10-41-1315,1,1004,3004,78.3,12.8,W,1,4,61,110,W,,,,,1,112,0,1,0,,,
MSU8,MSU Line F2002,1,1005,2136,83.7,12.58,W,1,5,100,2131,W,W,A,,,31,107,2,3,0,,,
288,Pioneer 25W36,1,1006,3197,80.8,12.79,W,1,6,101,2266,W,W,N,,,29,117,0,1,0,,,
1332,NY11020-1-45-1332,1,1007,2779,78.8,13.25,R,1,7,140,132,R,,,,,31,117,1,2,0,,,
MSU1,MSU Line F0013R,1,1008,2755,82.6,13.12,R,1,8,141,2452,R,W,N,,,29,107,1,1,0,,,
1192,NY01066-1192,1,1009,2027,80.6,12.46,W,1,9,180,2252,W,W,N,,,29,117,0,1,0,,,
697,7388xD8006 - 18-697,1,1010,2086,80.1,12.58,W,1,10,181,2271,W,BR,N,,,29,117,1,0,5,,,
1299,NY10108-2-85-1299,1,1011,2589,80.3,12.78,W,1,11,220,2219,W,W,N,,,31,102,0,1,0,,,
OH11,OH12-66-41,1,1012,2253,80.4,12.8,R,1,12,221,2163,R,W,N,,,27,122,0,1,0,,,
OH72,OH13-159-34,1,1013,3022,80.5,12.78,R,1,13,260,2205,R,W,N,10% G 10% BR,,28,112,0,0,0,,,
1350,NY11018-02-10-1350,1,1014,2204,80.6,13.1,R,1,14,261,155,R,,,,,27,112,2,1,0,,,
MSU102,MI14R0287,1,1015,2882,80.9,12.56,R,1,15,300,NA,R,,,,,27,122,0,0,0,,,
1303,NY10126-3-39-1303,1,1016,2461,80.3,13.07,W,1,16,301,2146,W,W,A/N,A\N,,31,112,1,3,0,,,
